x,y,z,n_contacts,median_w0,p_global_w0,p_within_patient_w0,sig_fdr_w0,sig_maxstat_w0,median_w1,p_global_w1,p_within_patient_w1,sig_fdr_w1,sig_maxstat_w1,median_w2,p_global_w2,p_within_patient_w2,sig_fdr_w2,sig_maxstat_w2,median_w3,p_global_w3,p_within_patient_w3,sig_fdr_w3,sig_maxstat_w3,median_w4,p_global_w4,p_within_patient_w4,sig_fdr_w4,sig_maxstat_w4,median_w5,p_global_w5,p_within_patient_w5,sig_fdr_w5,sig_maxstat_w5,median_w6,p_global_w6,p_within_patient_w6,sig_fdr_w6,sig_maxstat_w6
-60.0,-20.0,-30.0,10,0.0289,0.9522,0.8414,False,False,0.0492,0.6954,0.4203,False,False,0.1151,0.291,0.058,False,False,0.0,0.9996,0.9992,False,False,0.4063,0.0005,0.0007,False,False,0.2066,0.0548,0.0003,True,False,0.0896,0.624,0.949,False,False
-60.0,-20.0,-28.0,14,0.0289,0.9722,0.9101,False,False,0.0869,0.3149,0.0727,False,False,0.1037,0.3205,0.0697,False,False,0.0037,0.9947,0.9637,False,False,0.3182,0.002,0.001,False,False,0.2606,0.0065,0.0003,True,False,0.1496,0.1296,0.6587,False,False
-60.0,-20.0,-26.0,15,0.0323,0.9627,0.961,False,False,0.102,0.1993,0.071,False,False,0.0319,0.7232,0.4199,False,False,0.0028,0.9947,0.9129,False,False,0.2337,0.018,0.0311,False,False,0.2655,0.005,0.0004,True,False,0.1483,0.1434,0.4571,False,False
-60.0,-20.0,-24.0,14,0.0599,0.8814,0.9351,False,False,0.1163,0.1258,0.0751,False,False,0.0125,0.8533,0.616,False,False,0.0017,0.9965,0.8776,False,False,0.3182,0.0016,0.0046,False,False,0.284,0.0027,0.0004,True,False,0.0689,0.8037,0.8804,False,False
-60.0,-18.0,-26.0,14,0.025,0.9776,0.9115,False,False,0.0394,0.7967,0.4744,False,False,0.1037,0.3088,0.1131,False,False,0.0003,0.9982,0.9842,False,False,0.3389,0.0007,0.0028,False,False,0.3049,0.0004,0.0004,True,False,0.0898,0.6349,0.8636,False,False
-60.0,-16.0,-28.0,19,0.0346,0.9765,0.9185,False,False,0.029,0.894,0.5341,False,False,0.0971,0.3402,0.2257,False,False,0.0006,0.9986,0.9953,False,False,0.2751,0.0013,0.0078,False,False,0.3024,0.0002,0.0003,True,False,0.0313,0.9579,0.9877,False,False
-60.0,-16.0,-26.0,19,0.0346,0.9765,0.9185,False,False,0.029,0.894,0.5341,False,False,0.0971,0.3402,0.2257,False,False,0.0006,0.9986,0.9953,False,False,0.2751,0.0013,0.0078,False,False,0.3024,0.0002,0.0003,True,False,0.0313,0.9579,0.9877,False,False
-60.0,-16.0,-24.0,20,0.0362,0.98,0.9057,False,False,0.0382,0.8523,0.4706,False,False,0.0799,0.4451,0.4968,False,False,0.0008,0.9994,0.994,False,False,0.2647,0.0016,0.0085,False,False,0.3049,0.0001,0.0002,True,False,0.0781,0.783,0.8272,False,False
-60.0,-14.0,-24.0,15,0.0618,0.8692,0.8277,False,False,0.009,0.9473,0.7554,False,False,0.0811,0.4333,0.7391,False,False,0.0461,0.9638,0.9537,False,False,0.1855,0.1116,0.0327,False,False,0.3689,0.0002,0.0005,True,False,0.1636,0.0692,0.1294,False,False
-60.0,-12.0,-28.0,19,0.0567,0.9259,0.9485,False,False,0.009,0.9632,0.7481,False,False,0.0029,0.9652,0.989,False,False,0.0461,0.9786,0.985,False,False,0.165,0.1893,0.0906,False,False,0.3689,0.0001,0.0001,True,False,0.1249,0.2724,0.5327,False,False
-60.0,-12.0,-26.0,20,0.0456,0.9624,0.9651,False,False,0.0087,0.9739,0.7738,False,False,0.0029,0.9742,0.9914,False,False,0.0581,0.9696,0.9857,False,False,0.1752,0.1141,0.0374,False,False,0.3768,0.0001,0.0001,True,False,0.1144,0.3852,0.6431,False,False
-60.0,-12.0,-24.0,18,0.0482,0.9488,0.933,False,False,0.0058,0.9786,0.8692,False,False,0.0778,0.458,0.6296,False,False,0.0626,0.9538,0.9609,False,False,0.1752,0.1278,0.0204,False,False,0.4075,0.0001,0.0002,True,False,0.1366,0.1761,0.3375,False,False
-58.0,-20.0,-30.0,15,0.0323,0.9628,0.9353,False,False,0.0268,0.8811,0.6148,False,False,0.1199,0.2489,0.0603,False,False,0.0009,0.9949,0.9937,False,False,0.1202,0.4725,0.4226,False,False,0.2557,0.0069,0.0003,True,False,0.1509,0.1261,0.6382,False,False
-58.0,-20.0,-28.0,17,0.0323,0.9714,0.9376,False,False,0.0443,0.7806,0.3942,False,False,0.1199,0.2331,0.0851,False,False,0.008,0.9937,0.9825,False,False,0.1202,0.4647,0.3227,False,False,0.2557,0.0054,0.0002,True,False,0.151,0.1101,0.7375,False,False
-58.0,-20.0,-26.0,18,0.0351,0.9737,0.9783,False,False,0.0471,0.7654,0.4382,False,False,0.1064,0.2752,0.0829,False,False,0.0238,0.9919,0.9504,False,False,0.169,0.1498,0.0927,False,False,0.2606,0.0035,0.0001,True,False,0.151,0.0964,0.5566,False,False
-58.0,-18.0,-30.0,17,0.0323,0.972,0.9418,False,False,0.0268,0.8939,0.4868,False,False,0.1199,0.2345,0.071,False,False,0.0009,0.9971,0.9968,False,False,0.216,0.0356,0.0297,False,False,0.3024,0.0006,0.0002,True,False,0.1509,0.1128,0.4543,False,False
-58.0,-18.0,-26.0,17,0.0255,0.9812,0.947,False,False,0.0259,0.8985,0.4685,False,False,0.1204,0.2265,0.1124,False,False,0.0367,0.9808,0.9573,False,False,0.2337,0.0122,0.0146,False,False,0.3024,0.0004,0.0001,True,False,0.1509,0.1109,0.4252,False,False
-58.0,-16.0,-24.0,19,0.0378,0.9707,0.9475,False,False,0.029,0.8936,0.6229,False,False,0.1104,0.2675,0.3019,False,False,0.0001,0.9992,0.9963,False,False,0.2751,0.0013,0.0025,False,False,0.3024,0.0002,0.0001,True,False,0.0309,0.9604,0.9892,False,False
-58.0,-14.0,-24.0,15,0.0423,0.9418,0.9717,False,False,0.0023,0.9695,0.8948,False,False,0.1104,0.2868,0.4508,False,False,0.0367,0.9757,0.9617,False,False,0.216,0.0442,0.0085,False,False,0.3689,0.0002,0.0001,True,False,0.1249,0.3004,0.485,False,False
-58.0,-12.0,-24.0,17,0.0346,0.9663,0.972,False,False,0.0025,0.975,0.9406,False,False,0.0005,0.9906,0.9994,False,False,0.0367,0.981,0.9793,False,False,0.216,0.0311,0.002,False,False,0.3758,0.0001,0.0002,True,False,0.1038,0.5147,0.7703,False,False
-56.0,-20.0,-28.0,16,0.0351,0.9676,0.9385,False,False,0.0356,0.8453,0.5253,False,False,0.1276,0.1776,0.076,False,False,0.0244,0.9885,0.9786,False,False,0.1157,0.5057,0.2504,False,False,0.2066,0.0214,0.0006,True,False,0.2076,0.0092,0.5046,False,False
-56.0,-20.0,-26.0,16,0.0556,0.9118,0.9125,False,False,0.0471,0.7519,0.3789,False,False,0.1229,0.2053,0.0815,False,False,0.0238,0.9882,0.9589,False,False,0.1568,0.2244,0.1291,False,False,0.2099,0.0185,0.0007,True,False,0.151,0.1101,0.6262,False,False
-56.0,-14.0,-24.0,15,0.0444,0.931,0.978,False,False,0.0023,0.97,0.9243,False,False,0.1104,0.2875,0.4503,False,False,0.0367,0.9746,0.9666,False,False,0.216,0.0432,0.009,False,False,0.3689,0.0002,0.0001,True,False,0.1185,0.3728,0.5111,False,False
-54.0,-14.0,-24.0,13,0.0423,0.9288,0.9822,False,False,0.0023,0.9587,0.8759,False,False,0.1204,0.2563,0.3744,False,False,0.0367,0.9667,0.9809,False,False,0.216,0.0529,0.0133,False,False,0.3758,0.0001,0.0007,True,False,0.1185,0.3783,0.5071,False,False
-64.0,-14.0,-24.0,8,0.1119,0.5166,0.313,False,False,0.0282,0.8258,0.6482,False,False,0.0799,0.462,0.6844,False,False,0.0519,0.9051,0.7262,False,False,0.0584,0.79,0.6025,False,False,0.3711,0.0017,0.0008,True,False,0.2115,0.0485,0.2037,False,False
-64.0,-12.0,-28.0,8,0.1205,0.4498,0.5021,False,False,0.0087,0.9285,0.7805,False,False,0.0023,0.925,0.9678,False,False,0.0497,0.9103,0.8907,False,False,0.0546,0.8038,0.5125,False,False,0.4089,0.0004,0.0008,True,False,0.1927,0.0686,0.2875,False,False
-64.0,-12.0,-26.0,8,0.1205,0.4498,0.5021,False,False,0.0087,0.9285,0.7805,False,False,0.0023,0.925,0.9678,False,False,0.0497,0.9103,0.8907,False,False,0.0546,0.8038,0.5125,False,False,0.4089,0.0004,0.0008,True,False,0.1927,0.0686,0.2875,False,False
-64.0,-8.0,-28.0,15,0.1565,0.1323,0.5642,False,False,0.0014,0.9734,0.8043,False,False,0.0459,0.6448,0.5624,False,False,0.0831,0.8381,0.9587,False,False,0.0633,0.7973,0.7463,False,False,0.4488,0.0001,0.0001,True,False,0.0863,0.7009,0.6496,False,False
-64.0,-8.0,-26.0,15,0.1565,0.1323,0.5642,False,False,0.0014,0.9734,0.8043,False,False,0.0459,0.6448,0.5624,False,False,0.0831,0.8381,0.9587,False,False,0.0633,0.7973,0.7463,False,False,0.4488,0.0001,0.0001,True,False,0.0863,0.7009,0.6496,False,False
-62.0,-10.0,-28.0,15,0.1098,0.5649,0.7389,False,False,0.0084,0.9459,0.7062,False,False,0.0028,0.946,0.9461,False,False,0.0747,0.8916,0.9128,False,False,0.165,0.2152,0.131,False,False,0.3689,0.0002,0.0001,True,False,0.1377,0.1861,0.2371,False,False
-62.0,-10.0,-26.0,16,0.0858,0.7642,0.878,False,False,0.0087,0.9633,0.7998,False,False,0.0029,0.9612,0.9602,False,False,0.0784,0.8848,0.9033,False,False,0.1141,0.5167,0.3729,False,False,0.3768,0.0001,0.0001,True,False,0.1313,0.2305,0.2658,False,False
-62.0,-10.0,-24.0,15,0.1051,0.5967,0.5424,False,False,0.029,0.874,0.7132,False,False,0.0811,0.4361,0.5552,False,False,0.0821,0.8503,0.7646,False,False,0.0511,0.8537,0.7052,False,False,0.3981,0.0001,0.0006,True,False,0.1751,0.0444,0.0712,False,False
