k,mean_jaccard,min_jaccard,max_jaccard,n_runs,subsample_frac,estimator,n_iter
5,0.9030002355575562,0.8451987504959106,0.9507105350494384,50,0.8,native:cnmf,
6,0.8604293465614319,0.7641421556472778,0.9640727639198304,50,0.8,native:cnmf,
7,0.8110113825116839,0.7278777360916138,0.9393478631973268,50,0.8,native:cnmf,
8,0.8984402045607567,0.7862942218780518,0.9644630551338196,50,0.8,native:cnmf,
9,0.8448066115379333,0.7466298937797546,0.9362301230430604,50,0.8,native:cnmf,
10,0.7700180053710938,0.5557441711425781,0.9098528623580932,50,0.8,native:cnmf,
11,0.6395003497600555,0.3551129996776581,0.900687038898468,50,0.8,native:cnmf,1000
12,0.6959930111964544,0.2634667456150055,0.9576156139373779,50,0.8,native:cnmf,1000
