sample_idx,patient_id,condition,task,electrode,file_path,keep_for_clustering,leaf_label,cluster_hc_blob_k20_average
1,EL030,audio,LM,A_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L11_TN.npy,True,EL030_A_L11_audio,17
2,EL030,audio,LM,A_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L12_TN.npy,True,EL030_A_L12_audio,20
3,EL030,audio,LM,A_L13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L13_TN.npy,True,EL030_A_L13_audio,20
4,EL030,audio,LM,A_L14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L14_TN.npy,True,EL030_A_L14_audio,20
5,EL030,audio,LM,A_L15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L15_TN.npy,True,EL030_A_L15_audio,20
12,EL030,audio,LM,A_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L7_TN.npy,True,EL030_A_L7_audio,19
14,EL030,audio,LM,A_L9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L9_TN.npy,True,EL030_A_L9_audio,19
18,EL030,audio,LM,A_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R13_TN.npy,True,EL030_A_R13_audio,14
19,EL030,audio,LM,A_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R14_TN.npy,True,EL030_A_R14_audio,14
20,EL030,audio,LM,A_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R15_TN.npy,True,EL030_A_R15_audio,7
29,EL030,audio,LM,aH_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L10_TN.npy,True,EL030_aH_L10_audio,20
30,EL030,audio,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L11_TN.npy,True,EL030_aH_L11_audio,18
31,EL030,audio,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L12_TN.npy,True,EL030_aH_L12_audio,18
37,EL030,audio,LM,aH_L6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L6_TN.npy,True,EL030_aH_L6_audio,19
46,EL030,audio,LM,aH_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_R15_TN.npy,True,EL030_aH_R15_audio,19
86,EL030,audio,LM,pHG_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R13_TN.npy,True,EL030_pHG_R13_audio,17
87,EL030,audio,LM,pHG_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R14_TN.npy,True,EL030_pHG_R14_audio,18
88,EL030,audio,LM,pHG_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_pHG_R15_TN.npy,True,EL030_pHG_R15_audio,18
97,EL030,picture,LM,A_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L10_TN.npy,True,EL030_A_L10_picture,20
99,EL030,picture,LM,A_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L12_TN.npy,True,EL030_A_L12_picture,19
100,EL030,picture,LM,A_L13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L13_TN.npy,True,EL030_A_L13_picture,18
101,EL030,picture,LM,A_L14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L14_TN.npy,True,EL030_A_L14_picture,18
102,EL030,picture,LM,A_L15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L15_TN.npy,True,EL030_A_L15_picture,17
110,EL030,picture,LM,A_L8,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_L8_TN.npy,True,EL030_A_L8_picture,17
116,EL030,picture,LM,A_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R14_TN.npy,True,EL030_A_R14_picture,17
117,EL030,picture,LM,A_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\picture\EL030_picture_WM_ERSP_A_R15_TN.npy,True,EL030_A_R15_picture,3
