sample_idx,patient_id,condition,task,electrode,file_path,keep_for_clustering,leaf_label,cluster_kmeans_blob_k25_q0p90
1,EL030,audio,LM,A_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L11_TN.npy,True,EL030_A_L11_audio,4
2,EL030,audio,LM,A_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L12_TN.npy,True,EL030_A_L12_audio,1
3,EL030,audio,LM,A_L13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L13_TN.npy,True,EL030_A_L13_audio,19
4,EL030,audio,LM,A_L14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L14_TN.npy,True,EL030_A_L14_audio,1
5,EL030,audio,LM,A_L15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L15_TN.npy,True,EL030_A_L15_audio,14
12,EL030,audio,LM,A_L7,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L7_TN.npy,True,EL030_A_L7_audio,9
14,EL030,audio,LM,A_L9,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_L9_TN.npy,True,EL030_A_L9_audio,7
18,EL030,audio,LM,A_R13,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R13_TN.npy,True,EL030_A_R13_audio,16
19,EL030,audio,LM,A_R14,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R14_TN.npy,True,EL030_A_R14_audio,16
20,EL030,audio,LM,A_R15,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_A_R15_TN.npy,True,EL030_A_R15_audio,13
29,EL030,audio,LM,aH_L10,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L10_TN.npy,True,EL030_aH_L10_audio,14
30,EL030,audio,LM,aH_L11,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L11_TN.npy,True,EL030_aH_L11_audio,0
31,EL030,audio,LM,aH_L12,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L12_TN.npy,True,EL030_aH_L12_audio,18
37,EL030,audio,LM,aH_L6,..\01_FBM_Analysis\outputs\04_ersp_LM_RAWONLY\EL030\LM\ERSP_matrix\audio\EL030_audio_WM_ERSP_aH_L6_TN.npy,True,EL030_aH_L6_audio,18
