time_bin,importance
0,0.029032289061354695
1,0.04565998400815182
2,0.03942738936759883
3,0.04858229489576515
4,0.04611581634393929
5,0.05058477112292394
6,0.04215241022520316
7,0.03319063213180806
8,0.03293872858018771
9,0.02987499070750378
10,0.032183946378225185
11,0.03322341350268907
12,0.03084473735467178
13,0.029501431186432604
14,0.031020372339070117
15,0.03329610187279455
16,0.028865677111511747
17,0.034497441827868805
18,0.02991364042838038
19,0.031379045566641416
20,0.025698696027044603
21,0.027115551650954677
22,0.029281933589321577
23,0.03431686835897684
24,0.037448156829121455
25,0.033021684231321013
26,0.02634664765212159
27,0.022862140447797268
28,0.024876334997744526
29,0.026746872202874365
