feature_set,scheme,method_label,k_peak,peak,at_k8,monotone,k_max_tested
concat_hg,home,Ward,20,0.5706378589298889,0.4542516966149313,True,20
concat_hg,home,convex NMF,8,0.5679038115978698,0.5679038115978698,False,20
concat_hg,home,k-means,20,0.5736005917332989,0.46671077399095223,True,20
concat_hg,unit-norm,Ward,20,0.5042946876005026,0.42493269907157205,True,20
concat_hg,unit-norm,convex NMF,8,0.5679038115978698,0.5679038115978698,False,20
concat_hg,unit-norm,k-means,20,0.5066759694215972,0.43608523326184956,True,20
concat_hg_all,home,Ward,20,0.47855911911188803,0.3809627002379613,True,20
concat_hg_all,home,convex NMF,14,0.5059351230469185,0.4799575019505042,False,20
concat_hg_all,home,k-means,20,0.4883174729285354,0.3950226539757799,True,20
concat_hg_all,unit-norm,Ward,20,0.38970087738478126,0.31386834241953665,True,20
concat_hg_all,unit-norm,convex NMF,14,0.5059351230469185,0.4799575019505042,False,20
concat_hg_all,unit-norm,k-means,20,0.39447582868548065,0.3243516592898753,True,20
concat_rawds,home,Ward,20,0.4190191663015579,0.33272108925055777,True,20
concat_rawds,home,convex NMF,14,0.4487643523739646,0.42925696751887754,False,20
concat_rawds,home,k-means,20,0.42672895114665255,0.34075659826002846,True,20
concat_rawds,unit-norm,Ward,20,0.4069478789849248,0.31294016958630666,True,20
concat_rawds,unit-norm,convex NMF,14,0.4487643523739646,0.42925696751887754,False,20
concat_rawds,unit-norm,k-means,20,0.40976475217508446,0.32318310881434575,True,20
