method,method_label,cluster,n,pct,n_gated,n_added,pct_added
kmeans,k-means  (BSF),0,53,1.7990495587236932,52,1,1.8867924528301887
kmeans,k-means  (BSF),1,756,25.661914460285136,200,556,73.54497354497354
kmeans,k-means  (BSF),2,136,4.61642905634759,83,53,38.970588235294116
kmeans,k-means  (BSF),3,119,4.039375424304141,101,18,15.126050420168067
kmeans,k-means  (BSF),4,54,1.8329938900203666,54,0,0.0
kmeans,k-means  (BSF),5,583,19.789545145960624,295,288,49.39965694682676
kmeans,k-means  (BSF),6,177,6.008146639511202,176,1,0.5649717514124294
kmeans,k-means  (BSF),7,1068,36.252545824847246,305,763,71.44194756554307
hierarchical,Ward,0,33,1.120162932790224,33,0,0.0
hierarchical,Ward,1,174,5.906313645621181,167,7,4.022988505747127
hierarchical,Ward,2,62,2.104548540393754,62,0,0.0
hierarchical,Ward,3,165,5.6008146639511205,90,75,45.45454545454545
hierarchical,Ward,4,331,11.235573659198913,220,111,33.53474320241692
hierarchical,Ward,5,106,3.5980991174473864,96,10,9.433962264150944
hierarchical,Ward,6,1063,36.08282416836388,354,709,66.69802445907807
hierarchical,Ward,7,1012,34.35166327223354,244,768,75.8893280632411
cnmf,convex NMF,0,289,9.809911744738628,109,180,62.28373702422145
cnmf,convex NMF,1,448,15.207060420909707,296,152,33.92857142857143
cnmf,convex NMF,2,336,11.405295315682281,114,222,66.07142857142857
cnmf,convex NMF,3,466,15.81805838424983,159,307,65.87982832618026
cnmf,convex NMF,4,415,14.086897488119485,141,274,66.02409638554217
cnmf,convex NMF,5,432,14.663951120162933,182,250,57.870370370370374
cnmf,convex NMF,6,295,10.01357773251867,159,136,46.101694915254235
cnmf,convex NMF,7,265,8.995247793618466,106,159,60.0
