feature_set,scheme,method_label,k,mean,std,count
concat_hg,home,Ward,2,0.25450791998178685,0.02104455333735335,16
concat_hg,home,Ward,3,0.34735747981326126,0.026426991691245648,16
concat_hg,home,Ward,4,0.3692119450854323,0.02943800373547494,16
concat_hg,home,Ward,5,0.3911625884076963,0.025751185611234382,16
concat_hg,home,Ward,6,0.41491944169952405,0.02778624889625259,16
concat_hg,home,Ward,7,0.43225288366432035,0.030294032691557872,16
concat_hg,home,Ward,8,0.4542516966149313,0.02673841807033729,16
concat_hg,home,Ward,10,0.4846326509623533,0.023882632677226314,16
concat_hg,home,Ward,12,0.5094131322981289,0.026725900888261003,16
concat_hg,home,Ward,14,0.5282725194293639,0.03043057047503421,16
concat_hg,home,Ward,16,0.5429867379623692,0.027825080965532413,16
concat_hg,home,Ward,18,0.5578366649814686,0.028474837891227307,16
concat_hg,home,Ward,20,0.5706378589298889,0.027201560169925018,16
concat_hg,home,convex NMF,2,0.3859170359475637,0.026794918310424496,16
concat_hg,home,convex NMF,3,0.4629103591241267,0.02184518427661096,16
concat_hg,home,convex NMF,4,0.5086077718668875,0.020920145524258596,16
concat_hg,home,convex NMF,5,0.5453466775470144,0.02163841462065409,16
concat_hg,home,convex NMF,6,0.5608484747594041,0.017572375905252513,16
concat_hg,home,convex NMF,7,0.5656843283952779,0.018185145084823166,16
concat_hg,home,convex NMF,8,0.5679038115978698,0.01849983156438516,16
concat_hg,home,convex NMF,10,0.5655432330827949,0.015518960317514038,16
concat_hg,home,convex NMF,12,0.5605050019078134,0.015801295415407382,16
concat_hg,home,convex NMF,14,0.5520403972593884,0.015068869345178109,16
concat_hg,home,convex NMF,16,0.5413607528859778,0.014297825154896414,16
concat_hg,home,convex NMF,18,0.5309170337967317,0.01126179645239695,16
concat_hg,home,convex NMF,20,0.5203023420964396,0.013062873929907657,16
concat_hg,home,k-means,2,0.26231036121798607,0.026609405260458026,16
concat_hg,home,k-means,3,0.35663215237569323,0.025850865615528677,16
concat_hg,home,k-means,4,0.3882020080431181,0.022665766990828742,16
concat_hg,home,k-means,5,0.4154256372300021,0.02069109549367987,16
concat_hg,home,k-means,6,0.4337398162847842,0.024905130735523383,16
concat_hg,home,k-means,7,0.45229851819734096,0.02373286668604339,16
concat_hg,home,k-means,8,0.46671077399095223,0.025865734627027438,16
concat_hg,home,k-means,10,0.5019037099677812,0.024102658355257902,16
concat_hg,home,k-means,12,0.5202450515147783,0.027120460662824177,16
concat_hg,home,k-means,14,0.538155925927108,0.024437661330255666,16
concat_hg,home,k-means,16,0.5492503649562501,0.025193717528614892,16
concat_hg,home,k-means,18,0.563142348102133,0.023166121748806594,16
concat_hg,home,k-means,20,0.5736005917332989,0.026080820912041204,16
concat_hg,unit-norm,Ward,2,0.2664794778533882,0.023495769874599438,16
concat_hg,unit-norm,Ward,3,0.3247880158359043,0.024162811210469762,16
concat_hg,unit-norm,Ward,4,0.3591792232733389,0.024072588345246056,16
concat_hg,unit-norm,Ward,5,0.37718310322905696,0.02465061443097414,16
concat_hg,unit-norm,Ward,6,0.39691086981557033,0.02551779579419904,16
concat_hg,unit-norm,Ward,7,0.41345539425052924,0.022612352877175702,16
concat_hg,unit-norm,Ward,8,0.42493269907157205,0.021216905582122185,16
concat_hg,unit-norm,Ward,10,0.44722071365522376,0.022819733446076417,16
concat_hg,unit-norm,Ward,12,0.4641082473908834,0.023349551100962658,16
concat_hg,unit-norm,Ward,14,0.4776651018481463,0.023072335123536226,16
concat_hg,unit-norm,Ward,16,0.48745096070013916,0.02237165424588142,16
concat_hg,unit-norm,Ward,18,0.4961554944924622,0.02137634890611648,16
concat_hg,unit-norm,Ward,20,0.5042946876005026,0.021136226921311365,16
concat_hg,unit-norm,convex NMF,2,0.3859170359475637,0.026794918310424496,16
concat_hg,unit-norm,convex NMF,3,0.4629103591241267,0.02184518427661096,16
concat_hg,unit-norm,convex NMF,4,0.5086077718668875,0.020920145524258596,16
concat_hg,unit-norm,convex NMF,5,0.5453466775470144,0.02163841462065409,16
concat_hg,unit-norm,convex NMF,6,0.5608484747594041,0.017572375905252513,16
concat_hg,unit-norm,convex NMF,7,0.5656843283952779,0.018185145084823166,16
concat_hg,unit-norm,convex NMF,8,0.5679038115978698,0.01849983156438516,16
concat_hg,unit-norm,convex NMF,10,0.5655432330827949,0.015518960317514038,16
concat_hg,unit-norm,convex NMF,12,0.5605050019078134,0.015801295415407382,16
concat_hg,unit-norm,convex NMF,14,0.5520403972593884,0.015068869345178109,16
concat_hg,unit-norm,convex NMF,16,0.5413607528859778,0.014297825154896414,16
concat_hg,unit-norm,convex NMF,18,0.5309170337967317,0.01126179645239695,16
concat_hg,unit-norm,convex NMF,20,0.5203023420964396,0.013062873929907657,16
concat_hg,unit-norm,k-means,2,0.2703041324384815,0.022680006188669197,16
concat_hg,unit-norm,k-means,3,0.33172571737664364,0.02353879053118676,16
concat_hg,unit-norm,k-means,4,0.3697280815520015,0.02121439100765482,16
concat_hg,unit-norm,k-means,5,0.3883716737006484,0.020724095981713618,16
concat_hg,unit-norm,k-means,6,0.41147393352982975,0.01975754139302731,16
concat_hg,unit-norm,k-means,7,0.42541129804171207,0.022080190527137375,16
concat_hg,unit-norm,k-means,8,0.43608523326184956,0.022392792383484718,16
concat_hg,unit-norm,k-means,10,0.4574775718900431,0.02292278832062533,16
concat_hg,unit-norm,k-means,12,0.470572732080327,0.023450722147030367,16
concat_hg,unit-norm,k-means,14,0.4805690408662555,0.023355568391066964,16
concat_hg,unit-norm,k-means,16,0.49045262055659433,0.02109401609746615,16
concat_hg,unit-norm,k-means,18,0.49923329183318554,0.022319789321056334,16
concat_hg,unit-norm,k-means,20,0.5066759694215972,0.020592878203228263,16
concat_hg_all,home,Ward,2,0.20282102787812556,0.017296274473086445,16
concat_hg_all,home,Ward,3,0.2767921333425227,0.01935742980018346,16
concat_hg_all,home,Ward,4,0.31096210354840303,0.018623462336678442,16
concat_hg_all,home,Ward,5,0.3316202261793373,0.019098338444489014,16
concat_hg_all,home,Ward,6,0.35219449057852653,0.018461678799204063,16
concat_hg_all,home,Ward,7,0.3685160836818983,0.0171126464181248,16
concat_hg_all,home,Ward,8,0.3809627002379613,0.019187634144680117,16
concat_hg_all,home,Ward,10,0.403377544649131,0.016376117494304517,16
concat_hg_all,home,Ward,12,0.4208128800573704,0.01911726776254441,16
concat_hg_all,home,Ward,14,0.43788537336853683,0.020048784787657765,16
concat_hg_all,home,Ward,16,0.4551505235856148,0.020086941307030096,16
concat_hg_all,home,Ward,18,0.46738494878568126,0.018715105933774734,16
concat_hg_all,home,Ward,20,0.47855911911188803,0.01896812725294747,16
concat_hg_all,home,convex NMF,2,0.29168799290538405,0.01678248504912827,16
concat_hg_all,home,convex NMF,3,0.3550330012016434,0.016413242895861067,16
concat_hg_all,home,convex NMF,4,0.40620094103610394,0.013563169203036513,16
concat_hg_all,home,convex NMF,5,0.4425311591903818,0.013286062274540838,16
concat_hg_all,home,convex NMF,6,0.4555907670580189,0.012168790318583944,16
concat_hg_all,home,convex NMF,7,0.46944764754675816,0.01192911883013175,16
concat_hg_all,home,convex NMF,8,0.4799575019505042,0.01313886042233886,16
concat_hg_all,home,convex NMF,10,0.49571867139437953,0.011389936789078679,16
concat_hg_all,home,convex NMF,12,0.5050660537919153,0.011159189697633002,16
concat_hg_all,home,convex NMF,14,0.5059351230469185,0.011023385703134483,16
concat_hg_all,home,convex NMF,16,0.5041184207943813,0.010919063095898287,16
concat_hg_all,home,convex NMF,18,0.4995722368466931,0.010122870839815579,16
