feature_set,scheme,method_label,k_peak,peak,at_k8,monotone,k_max_tested
concat_bands5,home,Ward,30,0.524143629559364,0.38087028841979464,True,30
concat_bands5z,home,Ward,30,0.5334896307480473,0.37859574564221304,True,30
concat_hg,home,Ward,30,0.5819369968425119,0.44931007248713134,True,30
concat_rawds,home,Ward,30,0.441839305420317,0.31412948978301236,True,30
