k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
9,0,3,0.4572580073902599,concat_hg,hierarchical,Ward,dB,home,1693,900
9,1,0,0.486406795693203,concat_hg,hierarchical,Ward,dB,home,1693,900
9,1,1,0.5101407602468491,concat_hg,hierarchical,Ward,dB,home,1693,900
9,1,2,0.46962005222643965,concat_hg,hierarchical,Ward,dB,home,1693,900
9,1,3,0.4959025585739364,concat_hg,hierarchical,Ward,dB,home,1693,900
9,2,0,0.4670333691054539,concat_hg,hierarchical,Ward,dB,home,1693,900
9,2,1,0.48537897723391754,concat_hg,hierarchical,Ward,dB,home,1693,900
9,2,2,0.4567847185355498,concat_hg,hierarchical,Ward,dB,home,1693,900
9,2,3,0.4863024582746637,concat_hg,hierarchical,Ward,dB,home,1693,900
9,3,0,0.4491495494881409,concat_hg,hierarchical,Ward,dB,home,1693,900
9,3,1,0.47324306055892407,concat_hg,hierarchical,Ward,dB,home,1693,900
9,3,2,0.44249736812560425,concat_hg,hierarchical,Ward,dB,home,1693,900
9,3,3,0.46763642812241824,concat_hg,hierarchical,Ward,dB,home,1693,900
10,0,0,0.4546126410994221,concat_hg,hierarchical,Ward,dB,home,1693,900
10,0,1,0.48075627108474606,concat_hg,hierarchical,Ward,dB,home,1693,900
10,0,2,0.44561040628353743,concat_hg,hierarchical,Ward,dB,home,1693,900
10,0,3,0.4676407469912349,concat_hg,hierarchical,Ward,dB,home,1693,900
10,1,0,0.4952520623812938,concat_hg,hierarchical,Ward,dB,home,1693,900
10,1,1,0.5223854967841315,concat_hg,hierarchical,Ward,dB,home,1693,900
10,1,2,0.48224917382943977,concat_hg,hierarchical,Ward,dB,home,1693,900
10,1,3,0.5106850609889184,concat_hg,hierarchical,Ward,dB,home,1693,900
10,2,0,0.47690752333310105,concat_hg,hierarchical,Ward,dB,home,1693,900
10,2,1,0.49918907268857693,concat_hg,hierarchical,Ward,dB,home,1693,900
10,2,2,0.46424094419762296,concat_hg,hierarchical,Ward,dB,home,1693,900
10,2,3,0.4957725080178288,concat_hg,hierarchical,Ward,dB,home,1693,900
10,3,0,0.4753616873677666,concat_hg,hierarchical,Ward,dB,home,1693,900
10,3,1,0.48766643056325587,concat_hg,hierarchical,Ward,dB,home,1693,900
10,3,2,0.4564039938030853,concat_hg,hierarchical,Ward,dB,home,1693,900
10,3,3,0.4837375241221079,concat_hg,hierarchical,Ward,dB,home,1693,900
11,0,0,0.4639835445384186,concat_hg,hierarchical,Ward,dB,home,1693,900
11,0,1,0.4935423211078839,concat_hg,hierarchical,Ward,dB,home,1693,900
11,0,2,0.4694162170348548,concat_hg,hierarchical,Ward,dB,home,1693,900
11,0,3,0.4839240531683603,concat_hg,hierarchical,Ward,dB,home,1693,900
11,1,0,0.5071942996577179,concat_hg,hierarchical,Ward,dB,home,1693,900
11,1,1,0.5333068739473672,concat_hg,hierarchical,Ward,dB,home,1693,900
11,1,2,0.5002238107650476,concat_hg,hierarchical,Ward,dB,home,1693,900
11,1,3,0.5214616346374127,concat_hg,hierarchical,Ward,dB,home,1693,900
11,2,0,0.4883949013254587,concat_hg,hierarchical,Ward,dB,home,1693,900
11,2,1,0.5043858321752526,concat_hg,hierarchical,Ward,dB,home,1693,900
11,2,2,0.4785464260084489,concat_hg,hierarchical,Ward,dB,home,1693,900
11,2,3,0.5031433482932286,concat_hg,hierarchical,Ward,dB,home,1693,900
11,3,0,0.49031077491176245,concat_hg,hierarchical,Ward,dB,home,1693,900
11,3,1,0.4943305828011193,concat_hg,hierarchical,Ward,dB,home,1693,900
11,3,2,0.4672354518303813,concat_hg,hierarchical,Ward,dB,home,1693,900
11,3,3,0.4911098108042382,concat_hg,hierarchical,Ward,dB,home,1693,900
12,0,0,0.47604138731375323,concat_hg,hierarchical,Ward,dB,home,1693,900
12,0,1,0.4996196253984523,concat_hg,hierarchical,Ward,dB,home,1693,900
12,0,2,0.4763266919283051,concat_hg,hierarchical,Ward,dB,home,1693,900
12,0,3,0.490623860132398,concat_hg,hierarchical,Ward,dB,home,1693,900
12,1,0,0.5212593201335025,concat_hg,hierarchical,Ward,dB,home,1693,900
12,1,1,0.5411353041492808,concat_hg,hierarchical,Ward,dB,home,1693,900
12,1,2,0.5133325574507366,concat_hg,hierarchical,Ward,dB,home,1693,900
12,1,3,0.5268924330212288,concat_hg,hierarchical,Ward,dB,home,1693,900
12,2,0,0.4918161347485832,concat_hg,hierarchical,Ward,dB,home,1693,900
12,2,1,0.5110930846713984,concat_hg,hierarchical,Ward,dB,home,1693,900
12,2,2,0.4877535799101371,concat_hg,hierarchical,Ward,dB,home,1693,900
12,2,3,0.5081993078972074,concat_hg,hierarchical,Ward,dB,home,1693,900
12,3,0,0.49664983547996233,concat_hg,hierarchical,Ward,dB,home,1693,900
12,3,1,0.5016699459830729,concat_hg,hierarchical,Ward,dB,home,1693,900
12,3,2,0.4986337588515476,concat_hg,hierarchical,Ward,dB,home,1693,900
12,3,3,0.49920920104317856,concat_hg,hierarchical,Ward,dB,home,1693,900
13,0,0,0.48230859829967576,concat_hg,hierarchical,Ward,dB,home,1693,900
13,0,1,0.507032779642413,concat_hg,hierarchical,Ward,dB,home,1693,900
13,0,2,0.4922129473839618,concat_hg,hierarchical,Ward,dB,home,1693,900
13,0,3,0.5016919945798141,concat_hg,hierarchical,Ward,dB,home,1693,900
13,1,0,0.5328642532108312,concat_hg,hierarchical,Ward,dB,home,1693,900
13,1,1,0.549701597070182,concat_hg,hierarchical,Ward,dB,home,1693,900
13,1,2,0.5232236392234818,concat_hg,hierarchical,Ward,dB,home,1693,900
13,1,3,0.5352361077694763,concat_hg,hierarchical,Ward,dB,home,1693,900
13,2,0,0.49858649831301216,concat_hg,hierarchical,Ward,dB,home,1693,900
13,2,1,0.524765279217926,concat_hg,hierarchical,Ward,dB,home,1693,900
13,2,2,0.48993053437660716,concat_hg,hierarchical,Ward,dB,home,1693,900
13,2,3,0.5113393847269221,concat_hg,hierarchical,Ward,dB,home,1693,900
13,3,0,0.5011947238179262,concat_hg,hierarchical,Ward,dB,home,1693,900
13,3,1,0.5092171048818683,concat_hg,hierarchical,Ward,dB,home,1693,900
13,3,2,0.5055956814141032,concat_hg,hierarchical,Ward,dB,home,1693,900
13,3,3,0.50001420408489,concat_hg,hierarchical,Ward,dB,home,1693,900
14,0,0,0.4866141515304607,concat_hg,hierarchical,Ward,dB,home,1693,900
14,0,1,0.5116585415793975,concat_hg,hierarchical,Ward,dB,home,1693,900
14,0,2,0.49932701847600147,concat_hg,hierarchical,Ward,dB,home,1693,900
14,0,3,0.504023497473502,concat_hg,hierarchical,Ward,dB,home,1693,900
14,1,0,0.5375061875565024,concat_hg,hierarchical,Ward,dB,home,1693,900
14,1,1,0.5561469118180586,concat_hg,hierarchical,Ward,dB,home,1693,900
14,1,2,0.5269123320185358,concat_hg,hierarchical,Ward,dB,home,1693,900
14,1,3,0.5446850563197272,concat_hg,hierarchical,Ward,dB,home,1693,900
14,2,0,0.5068782670808784,concat_hg,hierarchical,Ward,dB,home,1693,900
14,2,1,0.5278197546926902,concat_hg,hierarchical,Ward,dB,home,1693,900
14,2,2,0.4953598263141008,concat_hg,hierarchical,Ward,dB,home,1693,900
14,2,3,0.5194799186302247,concat_hg,hierarchical,Ward,dB,home,1693,900
14,3,0,0.5078377079823057,concat_hg,hierarchical,Ward,dB,home,1693,900
14,3,1,0.5194374068796348,concat_hg,hierarchical,Ward,dB,home,1693,900
14,3,2,0.5129593832834267,concat_hg,hierarchical,Ward,dB,home,1693,900
14,3,3,0.5078801919168106,concat_hg,hierarchical,Ward,dB,home,1693,900
15,0,0,0.4918407659167816,concat_hg,hierarchical,Ward,dB,home,1693,900
15,0,1,0.5161058453990206,concat_hg,hierarchical,Ward,dB,home,1693,900
15,0,2,0.5064779594149256,concat_hg,hierarchical,Ward,dB,home,1693,900
15,0,3,0.5110431171813719,concat_hg,hierarchical,Ward,dB,home,1693,900
15,1,0,0.5458927170844294,concat_hg,hierarchical,Ward,dB,home,1693,900
15,1,1,0.5642306311925389,concat_hg,hierarchical,Ward,dB,home,1693,900
15,1,2,0.5354382429308155,concat_hg,hierarchical,Ward,dB,home,1693,900
15,1,3,0.5449479408025408,concat_hg,hierarchical,Ward,dB,home,1693,900
