k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
9,3,3,0.4724306489335136,concat_hg,kmeans,k-means,dB,home,1693,900
10,0,0,0.47135689348177734,concat_hg,kmeans,k-means,dB,home,1693,900
10,0,1,0.4917054570872682,concat_hg,kmeans,k-means,dB,home,1693,900
10,0,2,0.46396809318576115,concat_hg,kmeans,k-means,dB,home,1693,900
10,0,3,0.4858857237728419,concat_hg,kmeans,k-means,dB,home,1693,900
10,1,0,0.5028311282737699,concat_hg,kmeans,k-means,dB,home,1693,900
10,1,1,0.5226194328798808,concat_hg,kmeans,k-means,dB,home,1693,900
10,1,2,0.4919407808237538,concat_hg,kmeans,k-means,dB,home,1693,900
10,1,3,0.5138683491195898,concat_hg,kmeans,k-means,dB,home,1693,900
10,2,0,0.4763363992742732,concat_hg,kmeans,k-means,dB,home,1693,900
10,2,1,0.4922582628882204,concat_hg,kmeans,k-means,dB,home,1693,900
10,2,2,0.48851194414087473,concat_hg,kmeans,k-means,dB,home,1693,900
10,2,3,0.49623364512719004,concat_hg,kmeans,k-means,dB,home,1693,900
10,3,0,0.45848561970306545,concat_hg,kmeans,k-means,dB,home,1693,900
10,3,1,0.49302014740020395,concat_hg,kmeans,k-means,dB,home,1693,900
10,3,2,0.49427422326595627,concat_hg,kmeans,k-means,dB,home,1693,900
10,3,3,0.4837693879747307,concat_hg,kmeans,k-means,dB,home,1693,900
11,0,0,0.4834193215508288,concat_hg,kmeans,k-means,dB,home,1693,900
11,0,1,0.5040795132388263,concat_hg,kmeans,k-means,dB,home,1693,900
11,0,2,0.4802181369659302,concat_hg,kmeans,k-means,dB,home,1693,900
11,0,3,0.4972282991896946,concat_hg,kmeans,k-means,dB,home,1693,900
11,1,0,0.5127298234366846,concat_hg,kmeans,k-means,dB,home,1693,900
11,1,1,0.534473152968127,concat_hg,kmeans,k-means,dB,home,1693,900
11,1,2,0.5141677628829591,concat_hg,kmeans,k-means,dB,home,1693,900
