k,row_fold,col_fold,var_explained,feature_set,method,method_label,space,scheme,n,p
6,3,3,0.4285726894982048,concat_hg,kmeans,k-means,dB,home,1266,900
7,0,0,0.4418953876221906,concat_hg,kmeans,k-means,dB,home,1266,900
7,0,1,0.43859030231417695,concat_hg,kmeans,k-means,dB,home,1266,900
7,0,2,0.47029901376314676,concat_hg,kmeans,k-means,dB,home,1266,900
7,0,3,0.4665035683866644,concat_hg,kmeans,k-means,dB,home,1266,900
7,1,0,0.4559037930881902,concat_hg,kmeans,k-means,dB,home,1266,900
7,1,1,0.4578374496659917,concat_hg,kmeans,k-means,dB,home,1266,900
7,1,2,0.4934220137654939,concat_hg,kmeans,k-means,dB,home,1266,900
7,1,3,0.4967786300985193,concat_hg,kmeans,k-means,dB,home,1266,900
7,2,0,0.4201542396465605,concat_hg,kmeans,k-means,dB,home,1266,900
7,2,1,0.4200477083424202,concat_hg,kmeans,k-means,dB,home,1266,900
7,2,2,0.45834497678695274,concat_hg,kmeans,k-means,dB,home,1266,900
7,2,3,0.45092189297644514,concat_hg,kmeans,k-means,dB,home,1266,900
7,3,0,0.43157270002273207,concat_hg,kmeans,k-means,dB,home,1266,900
7,3,1,0.4283272826924084,concat_hg,kmeans,k-means,dB,home,1266,900
7,3,2,0.47304161476890527,concat_hg,kmeans,k-means,dB,home,1266,900
7,3,3,0.4331357172166571,concat_hg,kmeans,k-means,dB,home,1266,900
8,0,0,0.46040711436222725,concat_hg,kmeans,k-means,dB,home,1266,900
8,0,1,0.44463740111554584,concat_hg,kmeans,k-means,dB,home,1266,900
8,0,2,0.4824471927448585,concat_hg,kmeans,k-means,dB,home,1266,900
8,0,3,0.47891937290817355,concat_hg,kmeans,k-means,dB,home,1266,900
8,1,0,0.4794625265231731,concat_hg,kmeans,k-means,dB,home,1266,900
8,1,1,0.47430784058224085,concat_hg,kmeans,k-means,dB,home,1266,900
8,1,2,0.5176868006338738,concat_hg,kmeans,k-means,dB,home,1266,900
8,1,3,0.509581842381047,concat_hg,kmeans,k-means,dB,home,1266,900
8,2,0,0.4371197774236666,concat_hg,kmeans,k-means,dB,home,1266,900
8,2,1,0.43166386286210023,concat_hg,kmeans,k-means,dB,home,1266,900
8,2,2,0.46168674386690645,concat_hg,kmeans,k-means,dB,home,1266,900
8,2,3,0.466395831230196,concat_hg,kmeans,k-means,dB,home,1266,900
8,3,0,0.43702947594710484,concat_hg,kmeans,k-means,dB,home,1266,900
8,3,1,0.43226758340576144,concat_hg,kmeans,k-means,dB,home,1266,900
8,3,2,0.47179472616267426,concat_hg,kmeans,k-means,dB,home,1266,900
8,3,3,0.48196429170568633,concat_hg,kmeans,k-means,dB,home,1266,900
10,0,0,0.48231976230604545,concat_hg,kmeans,k-means,dB,home,1266,900
10,0,1,0.4837192250397585,concat_hg,kmeans,k-means,dB,home,1266,900
10,0,2,0.5149425369361497,concat_hg,kmeans,k-means,dB,home,1266,900
10,0,3,0.5139425447492261,concat_hg,kmeans,k-means,dB,home,1266,900
10,1,0,0.5127305175710697,concat_hg,kmeans,k-means,dB,home,1266,900
10,1,1,0.5122866983245522,concat_hg,kmeans,k-means,dB,home,1266,900
10,1,2,0.5505145804190001,concat_hg,kmeans,k-means,dB,home,1266,900
10,1,3,0.5386951930484641,concat_hg,kmeans,k-means,dB,home,1266,900
10,2,0,0.4847812442802376,concat_hg,kmeans,k-means,dB,home,1266,900
10,2,1,0.4656574617032273,concat_hg,kmeans,k-means,dB,home,1266,900
10,2,2,0.4886245975483171,concat_hg,kmeans,k-means,dB,home,1266,900
10,2,3,0.5036293602576476,concat_hg,kmeans,k-means,dB,home,1266,900
10,3,0,0.46652118481195737,concat_hg,kmeans,k-means,dB,home,1266,900
10,3,1,0.48704549592266166,concat_hg,kmeans,k-means,dB,home,1266,900
10,3,2,0.5011514445308397,concat_hg,kmeans,k-means,dB,home,1266,900
10,3,3,0.5238975120353447,concat_hg,kmeans,k-means,dB,home,1266,900
12,0,0,0.5192622986463102,concat_hg,kmeans,k-means,dB,home,1266,900
12,0,1,0.5029867430125983,concat_hg,kmeans,k-means,dB,home,1266,900
12,0,2,0.5315473922192839,concat_hg,kmeans,k-means,dB,home,1266,900
12,0,3,0.5434352328352212,concat_hg,kmeans,k-means,dB,home,1266,900
12,1,0,0.5242263170707148,concat_hg,kmeans,k-means,dB,home,1266,900
12,1,1,0.5233857055339564,concat_hg,kmeans,k-means,dB,home,1266,900
12,1,2,0.581144089585558,concat_hg,kmeans,k-means,dB,home,1266,900
12,1,3,0.5644763553919906,concat_hg,kmeans,k-means,dB,home,1266,900
12,2,0,0.49272373467446917,concat_hg,kmeans,k-means,dB,home,1266,900
12,2,1,0.48663658686911426,concat_hg,kmeans,k-means,dB,home,1266,900
