feature_set,scheme,method_label,k_peak,peak,at_k8,monotone
concat_hg,home,Ward,20,0.5706378589298889,0.45425169661493126,True
concat_hg,home,convex NMF,8,0.5679038115978698,0.5679038115978698,False
concat_hg,home,k-means,20,0.5736005917332989,0.46671077399095223,True
concat_hg,unit-norm,Ward,20,0.5042946876005026,0.424932699071572,True
concat_hg,unit-norm,convex NMF,8,0.5679038115978698,0.5679038115978698,False
concat_hg,unit-norm,k-means,20,0.5066759694215972,0.43608523326184956,True
concat_rawds,home,Ward,20,0.41901916630155783,0.33272108925055777,True
concat_rawds,home,convex NMF,14,0.4487643523739646,0.4292569675188775,False
concat_rawds,home,k-means,20,0.42672895114665255,0.34075659826002846,True
concat_rawds,unit-norm,Ward,20,0.40694787898492474,0.31294016958630666,True
concat_rawds,unit-norm,convex NMF,14,0.4487643523739646,0.4292569675188775,False
concat_rawds,unit-norm,k-means,20,0.40976475217508446,0.32318310881434575,True
