band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
-1,70.0,150.0,HG 70-150Hz,0,hg,0.0022288024984702557,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,1,hg,0.002461807390481026,0.00017801513128614665,0.00021802311907280852,0.00017801513128614665
-1,70.0,150.0,HG 70-150Hz,2,hg,0.001909962992221609,0.00031152647975075666,0.00020394195349156713,0.00031152647975075666
-1,70.0,150.0,HG 70-150Hz,3,hg,0.002273860636548418,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,4,hg,0.0019925231971692657,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,5,hg,0.00233587023917351,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,6,hg,0.008140929217365658,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,7,hg,0.027295496851127327,0.0013392506920395398,0.0008364107818357113,0.0013392506920395398
-1,70.0,150.0,HG 70-150Hz,8,hg,0.03048501046109577,0.002297646131489306,0.00107283342350109,0.002297646131489306
-1,70.0,150.0,HG 70-150Hz,9,hg,0.02035404778609664,0.0002677122314947433,0.00047106561423872954,0.0002677122314947433
-1,70.0,150.0,HG 70-150Hz,10,hg,0.01618796444548119,3.6556678746235696e-05,0.00039305426605818286,3.6556678746235696e-05
-1,70.0,150.0,HG 70-150Hz,11,hg,0.013759659677370131,-0.00022251891410773883,0.00022251891410773883,0.0
-1,70.0,150.0,HG 70-150Hz,12,hg,0.011424728382665545,-0.00010914022930047507,0.000317700443515872,0.0
-1,70.0,150.0,HG 70-150Hz,13,hg,0.011200561377653784,-0.0001658295717041125,0.0003219731399377299,0.0
-1,70.0,150.0,HG 70-150Hz,14,hg,0.010506158096179363,0.00044503782821536664,0.00028146663641906135,0.00044503782821536664
-1,70.0,150.0,HG 70-150Hz,15,hg,0.009990012238300448,-4.450378282156997e-05,0.00031152647975079943,0.0
-1,70.0,150.0,HG 70-150Hz,16,hg,0.006331754924071377,0.00017801513128614665,0.00021802311907280852,0.00017801513128614665
-1,70.0,150.0,HG 70-150Hz,17,hg,0.0070168487578922125,0.00013351134846460998,0.00020394195349156713,0.00013351134846460998
-1,70.0,150.0,HG 70-150Hz,18,hg,0.006845084154776607,-0.00035603026257238215,0.00017801513128619105,0.0
-1,70.0,150.0,HG 70-150Hz,19,hg,0.006436281476059746,-0.00031152647975083434,0.000203941953491618,0.0
-1,70.0,150.0,HG 70-150Hz,20,hg,0.004343273616509688,-0.00017801513128619107,0.00021802311907286292,0.0
-1,70.0,150.0,HG 70-150Hz,21,hg,0.0036944560355077916,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,22,hg,0.0032281858143140764,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,23,hg,0.00287178656146181,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,24,hg,0.0023369443298894344,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,25,hg,0.002114295237662945,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,26,hg,0.002115198578910291,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,27,hg,0.0024402679630653617,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,28,hg,0.0024715494679611737,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,29,hg,0.0028226466954902113,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,30,hg,0.002446292083842143,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,31,hg,0.002624031886576724,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,32,hg,0.002345010675249301,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,33,hg,0.0029011858180219745,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,34,hg,0.002930240485353513,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,35,hg,0.0030315714014736315,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,36,hg,0.002860522488271314,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,37,hg,0.002654828404176894,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,38,hg,0.0025441181062400646,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,39,hg,0.0028455452163465788,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,40,hg,0.002602299283064285,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,41,hg,0.003220350481137073,-5.668934240363743e-05,0.0001700680272109123,0.0
-1,70.0,150.0,HG 70-150Hz,42,hg,0.0037125713241185805,-2.4371119164190435e-05,0.00022985562740512766,0.0
-1,70.0,150.0,HG 70-150Hz,43,hg,0.002460900494995133,-0.00011337868480727486,0.00022675736961454973,0.0
-1,70.0,150.0,HG 70-150Hz,44,hg,0.001721890112556988,-5.668934240363743e-05,0.0001700680272109123,0.0
-1,70.0,150.0,HG 70-150Hz,45,hg,0.0021209209045300738,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,46,hg,0.0016923297439011874,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,47,hg,0.0021397909452802884,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,48,hg,0.003160719654630702,4.450378282153666e-05,0.00013351134846460998,4.450378282153666e-05
-1,70.0,150.0,HG 70-150Hz,49,hg,0.00260001460345182,-5.668934240363743e-05,0.0001700680272109123,0.0
-1,70.0,150.0,HG 70-150Hz,50,hg,0.0022725040133544537,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,51,hg,0.0016919130209981606,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,52,hg,0.0017186017104845975,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,53,hg,0.0019853975300580117,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,54,hg,0.001914157644438504,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,55,hg,0.0021829941840166736,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,56,hg,0.00219073167977343,0.00022251891410768332,0.00022251891410768332,0.00022251891410768332
-1,70.0,150.0,HG 70-150Hz,57,hg,0.0022849638640393,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,58,hg,0.0032250880249367485,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,59,hg,0.002278035598142986,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,60,hg,0.0025111631927771244,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,61,hg,0.0017484817939230266,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,62,hg,0.0019000852036125987,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,63,hg,0.0015213926591973698,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,64,hg,0.0015498650926285954,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,65,hg,0.0020082608945126627,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,66,hg,0.0024794667774405135,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,67,hg,0.0018219650954939758,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,68,hg,0.002396803048175615,0.0,0.0,0.0
-1,70.0,150.0,HG 70-150Hz,69,hg,0.003280040164165145,4.450378282153666e-05,0.00013351134846460998,4.450378282153666e-05
-1,70.0,150.0,HG 70-150Hz,70,hg,0.0033960481392870216,0.0,0.0,0.0
