cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json,p_entropy_lower_tail,null_entropy_mean
0,62,62,,,unknown,1.0,"[[""unknown"", 1.0]]",,
1,108,8,4.015993658688761,0.11,postcentral,0.11,"[[""postcentral"", 0.11], [""supramarginal"", 0.1], [""middletemporal"", 0.1]]",0.308,4.061238917705017
2,19,1,2.93299930663729,0.2222222222222222,inferiortemporal,0.222,"[[""inferiortemporal"", 0.222], [""lateraloccipital"", 0.167], [""fusiform"", 0.167]]",0.056,3.3552238738805205
3,40,40,,,unknown,1.0,"[[""unknown"", 1.0]]",,
4,37,7,3.390759147096384,0.16666666666666666,precentral,0.167,"[[""precentral"", 0.167], [""superiorfrontal"", 0.167], [""caudalmiddlefrontal"", 0.1]]",0.052,3.7070498317435443
5,138,113,3.1394705707972514,0.2,superiortemporal,0.2,"[[""superiortemporal"", 0.2], [""inferiortemporal"", 0.16], [""middletemporal"", 0.16]]",0.0,4.103640856574277
6,72,12,3.9224280559278863,0.13333333333333333,precentral,0.133,"[[""precentral"", 0.133], [""postcentral"", 0.1], [""superiorfrontal"", 0.083]]",0.392,3.957600453554037
7,97,79,2.197159723424149,0.4444444444444444,middletemporal,0.444,"[[""middletemporal"", 0.444], [""supramarginal"", 0.167], [""precentral"", 0.167]]",0.0,4.034970873779067
8,62,3,3.3907509355357686,0.1864406779661017,rostralmiddlefrontal,0.186,"[[""rostralmiddlefrontal"", 0.186], [""lateralorbitofrontal"", 0.169], [""middletemporal"", 0.102]]",0.0,3.9228766160485904
9,19,18,0.0,1.0,middletemporal,1.0,"[[""middletemporal"", 1.0]]",0.0,3.320133365073544
10,119,8,4.01327274660314,0.11711711711711711,middletemporal,0.117,"[[""middletemporal"", 0.117], [""postcentral"", 0.099], [""inferiortemporal"", 0.099]]",0.246,4.0750104653813874
11,233,173,3.3021779348655453,0.25,middletemporal,0.25,"[[""middletemporal"", 0.25], [""inferiortemporal"", 0.183], [""superiortemporal"", 0.117]]",0.0,4.168146396594382
12,31,22,0.5032583347756457,0.8888888888888888,lateraloccipital,0.889,"[[""lateraloccipital"", 0.889], [""bankssts"", 0.111]]",0.0,3.6279890653380673
13,54,49,0.7219280948873623,0.8,middletemporal,0.8,"[[""middletemporal"", 0.8], [""superiortemporal"", 0.2]]",0.0,3.8768348766767793
14,26,22,0.8112781244591328,0.75,rostralmiddlefrontal,0.75,"[[""rostralmiddlefrontal"", 0.75], [""superiorfrontal"", 0.25]]",0.0,3.5413094899074458
15,260,125,3.71229506927331,0.23703703703703705,insula,0.237,"[[""insula"", 0.237], [""postcentral"", 0.126], [""lateralorbitofrontal"", 0.074]]",0.0,4.167571235897679
16,72,26,2.924673368630172,0.2608695652173913,middletemporal,0.261,"[[""middletemporal"", 0.261], [""inferiortemporal"", 0.261], [""superiortemporal"", 0.13]]",0.0,3.963586510277077
17,25,3,3.572623663895164,0.13636363636363635,postcentral,0.136,"[[""postcentral"", 0.136], [""precentral"", 0.136], [""superiorfrontal"", 0.091]]",0.584,3.5257810977036574
18,64,61,0.0,1.0,middletemporal,1.0,"[[""middletemporal"", 1.0]]",0.0,3.9263134745494455
