cluster_id,size,jaccard_stability,n_runs
0,71,0.5593078136444092,50
1,59,0.47927528619766235,50
2,137,0.42927220463752747,50
3,16,0.606499969959259,50
4,73,0.3116666376590729,50
5,20,0.6270526051521301,50
6,88,0.5585997700691223,50
7,11,0.9178181290626526,50
8,8,0.8992857336997986,50
9,217,0.4761495292186737,50
10,99,0.2781199514865875,50
11,81,0.467462956905365,50
12,116,0.4764467477798462,50
13,175,0.27956780791282654,50
14,44,0.4514799118041992,50
15,233,0.3640424609184265,50
16,19,0.6941520571708679,50
17,35,0.6425209641456604,50
18,2,1.0,50
19,34,0.607664942741394,50
