cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,193,105,88,67.74631647168621,-36.2339269615355,-9.35939629191444,-2.2162024384453183,14.024706773565313,48.5567189251789,19.871627443694916,mean_pairwise,left
1,200,110,90,52.55131051745889,-41.50873304713856,-28.50556626211513,1.578963659026406,14.710303705310126,28.497353090998544,26.267179261491172,mean_pairwise,left
2,356,222,134,57.42765742232665,-45.59934422843628,-15.456795146067938,2.6731772491926544,16.72068815438766,29.09046786997964,28.552710805717755,mean_pairwise,left
3,71,7,64,59.48638137688013,-46.38371276855469,-12.144956197057452,-8.232979093279157,12.598514531576216,35.22892322977825,23.599536351656702,mean_pairwise,left
4,113,11,102,60.81744496178134,-52.40717324343595,-32.82943959669633,-1.438942128961738,13.847354946109068,27.836114719772763,35.75957354533235,mean_pairwise,left
5,77,70,7,38.96899231683667,-43.81817624909537,2.981061622074672,16.220675910157816,11.864539114467986,24.354802161953266,14.52570293667625,mean_pairwise,left
6,203,78,125,40.278758287504175,-41.61028443964628,-12.735077407879707,16.76663933044825,15.035770253808314,17.75394471248447,22.011555109019685,mean_pairwise,left
7,161,96,65,52.36000511841635,-42.89441998799642,-16.698867811394546,-6.308191316202283,16.591067974682232,21.279435274275365,32.013796273904575,mean_pairwise,left
8,358,220,138,52.92997200009792,-39.724928165565835,-6.996027358011766,5.540509573133154,13.94730331215766,27.71038814479495,26.940332291074345,mean_pairwise,left
9,363,104,259,41.97357845713815,-40.581043236530746,-8.540728212907338,-12.741320226054926,12.866232847624827,20.373468802577708,24.813579224394395,mean_pairwise,left
