cluster_id,n_total,n_unknown,entropy_bits,purity,top_region,top_proportion,top_3_json
0,193,92,3.7889359962359723,0.16831683168316833,lateraloccipital,0.168,"[[""lateraloccipital"", 0.168], [""rostralmiddlefrontal"", 0.139], [""lateralorbitofrontal"", 0.119]]"
1,200,99,3.887974856096287,0.19801980198019803,superiortemporal,0.198,"[[""superiortemporal"", 0.198], [""inferiortemporal"", 0.119], [""bankssts"", 0.089]]"
2,356,149,3.8961247990694106,0.178743961352657,middletemporal,0.179,"[[""middletemporal"", 0.179], [""inferiortemporal"", 0.126], [""supramarginal"", 0.097]]"
3,71,64,2.2359263506290326,0.2857142857142857,insula,0.286,"[[""insula"", 0.286], [""middletemporal"", 0.286], [""lateraloccipital"", 0.143]]"
4,113,102,2.186704345910025,0.36363636363636365,middletemporal,0.364,"[[""middletemporal"", 0.364], [""inferiortemporal"", 0.182], [""postcentral"", 0.182]]"
5,77,7,3.1491538066495584,0.2,rostralmiddlefrontal,0.2,"[[""rostralmiddlefrontal"", 0.2], [""parsopercularis"", 0.186], [""postcentral"", 0.129]]"
6,203,127,2.951712734916533,0.27631578947368424,postcentral,0.276,"[[""postcentral"", 0.276], [""insula"", 0.237], [""precentral"", 0.145]]"
7,161,76,3.263761453901135,0.27058823529411763,middletemporal,0.271,"[[""middletemporal"", 0.271], [""inferiortemporal"", 0.212], [""superiortemporal"", 0.106]]"
8,358,144,4.1097128341149425,0.12149532710280374,insula,0.121,"[[""insula"", 0.121], [""middletemporal"", 0.121], [""supramarginal"", 0.093]]"
9,363,285,3.0420210103679146,0.358974358974359,middletemporal,0.359,"[[""middletemporal"", 0.359], [""inferiortemporal"", 0.192], [""lateralorbitofrontal"", 0.077]]"
