band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,perm_importance,perm_importance_std,importance
0,1.0,4.0,1-4Hz,0,ersp,0.004437223848605515,8.661950669190955e-05,0.000715803302877029,8.661950669190955e-05
0,1.0,4.0,1-4Hz,1,ersp,0.013226401674888658,0.002356388366675566,0.0013186960021706255,0.002356388366675566
0,1.0,4.0,1-4Hz,2,ersp,0.007337389383657303,0.0012016780722665988,0.0011332603294275136,0.0012016780722665988
0,1.0,4.0,1-4Hz,3,ersp,0.002928279656015712,0.0013239116028557097,0.0004303183115835507,0.0013239116028557097
0,1.0,4.0,1-4Hz,4,ersp,0.0019534127869354216,-0.00017184248768157274,0.0004398266641916414,0.0
0,1.0,4.0,1-4Hz,5,ersp,0.001962427477985939,0.0003925869413185623,0.0003771350969443139,0.0003925869413185623
0,1.0,4.0,1-4Hz,6,ersp,0.001821205673666987,0.0012732351764294658,0.0006290511142289952,0.0012732351764294658
0,1.0,4.0,1-4Hz,7,ersp,0.002801575103518512,0.000604139637348089,0.0007476479630374361,0.000604139637348089
0,1.0,4.0,1-4Hz,8,ersp,0.002234805822836405,0.0009559314444135935,0.0007854498681352945,0.0009559314444135935
0,1.0,4.0,1-4Hz,9,ersp,0.002358875161308151,1.6424015088878362e-05,0.00035759770553536334,1.6424015088878362e-05
0,1.0,4.0,1-4Hz,10,ersp,0.0021257339750040617,0.00032594037065668545,0.00040404781614453123,0.00032594037065668545
0,1.0,4.0,1-4Hz,11,ersp,0.0020970293196776353,0.0006113972068578,0.0004589620601947112,0.0006113972068578
0,1.0,4.0,1-4Hz,12,ersp,0.001992879060287002,0.0005728304039286147,0.000499728716303419,0.0005728304039286147
0,1.0,4.0,1-4Hz,13,ersp,0.0018091582967559134,-0.00021033335452563806,0.00030965436631377144,0.0
0,1.0,4.0,1-4Hz,14,ersp,0.0034104507258526915,-0.0003377305388993834,0.0009183126740025771,0.0
0,1.0,4.0,1-4Hz,15,ersp,0.002387264555906404,-6.201272381551881e-05,0.0006660613500851923,0.0
0,1.0,4.0,1-4Hz,16,ersp,0.00380080680436151,0.0005511589435129415,0.0006326729697592819,0.0005511589435129415
0,1.0,4.0,1-4Hz,17,ersp,0.0021801769934546226,0.00017939420041724886,0.0005543684720852569,0.00017939420041724886
0,1.0,4.0,1-4Hz,18,ersp,0.0017686649426284277,0.00022721124046770624,0.0005044439935419651,0.00022721124046770624
0,1.0,4.0,1-4Hz,19,ersp,0.001996057191503549,0.001091671124202076,0.0006439924036790515,0.001091671124202076
0,1.0,4.0,1-4Hz,20,ersp,0.003306708531824806,0.001358062766079593,0.0008276904104436164,0.001358062766079593
0,1.0,4.0,1-4Hz,21,ersp,0.0015858350151920673,-2.3681584598655992e-05,0.0003315162173894569,0.0
0,1.0,4.0,1-4Hz,22,ersp,0.0013482914617536487,0.00025375221144203764,0.0002563023149100026,0.00025375221144203764
0,1.0,4.0,1-4Hz,23,ersp,0.001784416076679092,0.0008181816404421504,0.0004244778250670459,0.0008181816404421504
0,1.0,4.0,1-4Hz,24,ersp,0.002974692593814457,0.001728843831383531,0.0003127898713176651,0.001728843831383531
0,1.0,4.0,1-4Hz,25,ersp,0.0022954827750108495,0.000501727170618993,0.00026179164919441246,0.000501727170618993
