time_bin,importance
0,0.030284599893116583
1,0.006308555231666036
2,0.004950457552443876
3,0.006224322038268259
4,0.0007973594422192142
5,0.003657424878525506
6,0.004928373244117434
7,0.004510700337040884
8,0.004203891495678458
9,0.006638455625517581
10,0.001832871030956007
11,0.0027378319057172694
12,0.0020223062511735
13,0.0028295216735375163
14,0.003501988949361734
15,0.003719260418142334
16,0.005214500412655487
17,0.006188143294289894
18,0.0077543852739992754
19,0.008329235403225011
20,0.0035462570684710037
21,0.0011718063874919693
22,0.0019731686215057054
23,0.0027685353961133252
24,0.0030829038056683247
25,0.0020341976675296468
26,0.009603177570791155
27,0.004336847725176296
28,0.003408818864296925
29,0.0052133412963225705
