time_bin,importance
0,0.9666877926182602
1,0.788810715249015
2,0.7676252917976715
3,0.668111205635364
4,0.692418994978834
5,0.6739232129866898
6,0.6267068950560022
7,0.672701135466594
8,0.6681533049293544
9,0.6905509256915024
10,0.7032087782581524
11,0.8075639705841374
12,0.7421348684990244
13,0.7342289280918107
14,0.8204486094147778
15,0.8201888354355309
16,0.7324004703448107
17,0.7621070466104771
18,0.825694263156653
19,0.8988424698729343
20,0.8269194933066292
21,0.6500451040617297
22,0.5979644456469504
23,0.6581064318886584
24,0.6976424296634542
25,0.7266538766310846
26,0.7546032265431972
27,0.7939783480962008
28,0.775596773135436
29,0.9473202317288406
