class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
17Networks_1,26,0.3170731707317073,0.5,0.3880597014925373,0.0,0.6666666666666666,0.8233327830967315,0.004975124378109453,0.01691542288557214
17Networks_10,23,0.02040816326530612,0.043478260869565216,0.027777777777777776,0.0,0.28690476190476083,0.5970704487328529,0.15920398009950248,0.28756218905472636
17Networks_11,4,0.0,0.0,0.0,0.0,0.0,0.18553459119496857,1.0,1.0
17Networks_12,58,0.0,0.0,0.0,0.0,0.0,0.6255651340996169,1.0,1.0
17Networks_13,95,0.1016949152542373,0.06315789473684211,0.07792207792207792,0.010411352040816326,0.13684571016582553,0.5266329206562176,0.208955223880597,0.32293080054274087
17Networks_14,59,0.3333333333333333,0.2033898305084746,0.25263157894736843,0.09995098039215687,0.3276055069480185,0.6677475914858317,0.004975124378109453,0.01691542288557214
17Networks_15,25,0.09230769230769231,0.24,0.13333333333333333,0.0,0.4444444444444444,0.6303108252947482,0.004975124378109453,0.01691542288557214
17Networks_16,43,0.04878048780487805,0.046511627906976744,0.047619047619047616,0.0,0.12508012820512812,0.5868852459016393,0.1691542288557214,0.28756218905472636
17Networks_17,228,0.49166666666666664,0.25877192982456143,0.3390804597701149,0.14034210526315788,0.3967033300923675,0.6537250660898822,1.0,1.0
17Networks_2,3,0.0,0.0,0.0,0.0,0.0,0.16020942408376962,1.0,1.0
17Networks_3,25,0.0,0.0,0.0,0.0,0.0,0.34911039657020365,1.0,1.0
17Networks_4,91,0.3050847457627119,0.1978021978021978,0.24,0.08857990506329114,0.3276108374384236,0.6563494175950922,0.009950248756218905,0.028192371475953566
17Networks_5,23,0.02586206896551724,0.13043478260869565,0.04316546762589928,0.0,0.2580943847072879,0.5861660079051384,0.029850746268656716,0.06343283582089553
17Networks_6,26,0.1111111111111111,0.15384615384615385,0.12903225806451613,0.0,0.34788043478260866,0.6216573126444371,0.004975124378109453,0.01691542288557214
17Networks_7,43,0.08108108108108109,0.06976744186046512,0.075,0.0,0.22503537735849055,0.474469437031389,0.01990049751243781,0.048329779673063254
17Networks_8,40,0.0,0.0,0.0,0.0,0.0,0.5856481481481481,1.0,1.0
17Networks_9,146,0.30049261083743845,0.4178082191780822,0.3495702005730659,0.3096560721062619,0.5234693502097283,0.6966605371482556,0.004975124378109453,0.01691542288557214
