k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
2,2,5,5,5,5,5,5,5,2,2,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,6,6,6,6,6,6,4,6,6,8,8,6,6,6,6,4,15,15,25,10,8,10,10
1,1,1,6,1,1,6,10,6,6,1,1,4,8,1,1,1,1,4,15,15,25,10,8,10,10
4,1,1,6,1,6,5,6,6,8,4,4,4,4,4,4,4,4,4,15,15,25,10,27,27,27
4,1,1,7,0,0,0,1,1,1,4,4,4,14,4,4,4,4,14,14,14,14,14,27,27,27
4,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
1,1,1,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
2,2,5,5,5,5,5,5,2,5,2,10,5,7,15,7,20,20,20,20,20,20,20,4,20,29
2,2,2,5,5,5,5,5,5,2,2,10,5,5,15,7,20,20,20,20,5,5,20,5,5,5
2,2,5,6,1,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,3,0,5,7,8,7,4,4,5,10,15,15,7,15,10,20,20,10,4,4,4,4,27,27,29
0,0,0,0,7,7,3,7,7,13,7,13,0,0,0,13,0,0,0,0,0,0,0,0,0,4
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27
0,0,0,0,7,2,7,7,0,7,7,0,0,0,7,0,7,7,7,6,7,7,0,10,6,6
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,14,14,7,0,7,7,7,7,7,7,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,7
0,2,2,7,0,0,1,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,27,27,1
2,2,2,2,2,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,0,7,0,7,0,7,7,1,7,7,7,14,14,14,14,14,7,7,7,7,14,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,0,7,7,7
0,2,2,2,2,2,2,7,1,7,14,14,10,14,14,14,14,14,6,0,2,7,0,14,14,14
0,0,0,0,7,7,7,7,7,7,7,7,0,0,7,0,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,7,7,1,1,14,14,7,14,14,14,14,14,7,7,7,7,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,0,0,7,0,0,0,1,1,1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
