band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
0,1.0,4.0,1-4Hz,0,ersp,0.00018676397899157745,0.00018676397899157745
0,1.0,4.0,1-4Hz,1,ersp,0.00011666883698991634,0.00011666883698991634
0,1.0,4.0,1-4Hz,2,ersp,0.00010254620729323038,0.00010254620729323038
0,1.0,4.0,1-4Hz,3,ersp,0.00024414529650623534,0.00024414529650623534
0,1.0,4.0,1-4Hz,4,ersp,0.0002418823873292713,0.0002418823873292713
0,1.0,4.0,1-4Hz,5,ersp,0.00019943057554922978,0.00019943057554922978
0,1.0,4.0,1-4Hz,6,ersp,0.0003370611413133036,0.0003370611413133036
0,1.0,4.0,1-4Hz,7,ersp,0.00045370866611783384,0.00045370866611783384
0,1.0,4.0,1-4Hz,8,ersp,0.0002377651063776827,0.0002377651063776827
0,1.0,4.0,1-4Hz,9,ersp,0.0011450005886492658,0.0011450005886492658
0,1.0,4.0,1-4Hz,10,ersp,0.0004640261284736201,0.0004640261284736201
0,1.0,4.0,1-4Hz,11,ersp,0.0005426173521451887,0.0005426173521451887
0,1.0,4.0,1-4Hz,12,ersp,0.0010854524565235078,0.0010854524565235078
0,1.0,4.0,1-4Hz,13,ersp,0.00152172726124608,0.00152172726124608
0,1.0,4.0,1-4Hz,14,ersp,0.001381127728377358,0.001381127728377358
0,1.0,4.0,1-4Hz,15,ersp,0.0030327827487052032,0.0030327827487052032
0,1.0,4.0,1-4Hz,16,ersp,0.0021619691334769224,0.0021619691334769224
0,1.0,4.0,1-4Hz,17,ersp,0.0012457614846100179,0.0012457614846100179
0,1.0,4.0,1-4Hz,18,ersp,0.0010917887779177064,0.0010917887779177064
0,1.0,4.0,1-4Hz,19,ersp,0.0006145306194835087,0.0006145306194835087
0,1.0,4.0,1-4Hz,20,ersp,0.0006295600590687243,0.0006295600590687243
0,1.0,4.0,1-4Hz,21,ersp,0.0008109658871683087,0.0008109658871683087
0,1.0,4.0,1-4Hz,22,ersp,0.0007557940285524556,0.0007557940285524556
0,1.0,4.0,1-4Hz,23,ersp,0.0006913307233090539,0.0006913307233090539
0,1.0,4.0,1-4Hz,24,ersp,0.0003319882346422122,0.0003319882346422122
0,1.0,4.0,1-4Hz,25,ersp,0.00035397546528032585,0.00035397546528032585
0,1.0,4.0,1-4Hz,26,ersp,0.00019481498220031627,0.00019481498220031627
0,1.0,4.0,1-4Hz,27,ersp,0.0004030391287788362,0.0004030391287788362
0,1.0,4.0,1-4Hz,28,ersp,0.000398956358584015,0.000398956358584015
0,1.0,4.0,1-4Hz,29,ersp,0.0004783956693251324,0.0004783956693251324
0,1.0,4.0,1-4Hz,30,ersp,0.0006347187083582545,0.0006347187083582545
0,1.0,4.0,1-4Hz,31,ersp,0.00041239144165168556,0.00041239144165168556
0,1.0,4.0,1-4Hz,32,ersp,0.0005833398616582225,0.0005833398616582225
0,1.0,4.0,1-4Hz,33,ersp,0.00021651765422388123,0.00021651765422388123
0,1.0,4.0,1-4Hz,34,ersp,0.0005430607880118611,0.0005430607880118611
0,1.0,4.0,1-4Hz,35,ersp,0.0006731497500643344,0.0006731497500643344
0,1.0,4.0,1-4Hz,36,ersp,0.0009278008698354864,0.0009278008698354864
0,1.0,4.0,1-4Hz,37,ersp,0.00024933745632772347,0.00024933745632772347
0,1.0,4.0,1-4Hz,38,ersp,0.0001413432802286578,0.0001413432802286578
0,1.0,4.0,1-4Hz,39,ersp,0.0002500388229149865,0.0002500388229149865
0,1.0,4.0,1-4Hz,40,ersp,0.0003401313002780341,0.0003401313002780341
0,1.0,4.0,1-4Hz,41,ersp,0.00010195284481990322,0.00010195284481990322
0,1.0,4.0,1-4Hz,42,ersp,0.00016341836754132845,0.00016341836754132845
0,1.0,4.0,1-4Hz,43,ersp,0.00018036932346749863,0.00018036932346749863
0,1.0,4.0,1-4Hz,44,ersp,0.00013090723642514282,0.00013090723642514282
0,1.0,4.0,1-4Hz,45,ersp,0.0002854172771353601,0.0002854172771353601
0,1.0,4.0,1-4Hz,46,ersp,7.955250340792143e-05,7.955250340792143e-05
0,1.0,4.0,1-4Hz,47,ersp,9.738510705476195e-05,9.738510705476195e-05
0,1.0,4.0,1-4Hz,48,ersp,0.00022481514220122352,0.00022481514220122352
0,1.0,4.0,1-4Hz,49,ersp,0.00026615937530149943,0.00026615937530149943
0,1.0,4.0,1-4Hz,50,ersp,0.00037486123648490413,0.00037486123648490413
0,1.0,4.0,1-4Hz,51,ersp,0.0003920622390256688,0.0003920622390256688
0,1.0,4.0,1-4Hz,52,ersp,0.000288467403717661,0.000288467403717661
0,1.0,4.0,1-4Hz,53,ersp,0.00028956699408368304,0.00028956699408368304
0,1.0,4.0,1-4Hz,54,ersp,0.00013150231921746545,0.00013150231921746545
0,1.0,4.0,1-4Hz,55,ersp,0.00020693438118845887,0.00020693438118845887
0,1.0,4.0,1-4Hz,56,ersp,0.0001663161017898272,0.0001663161017898272
0,1.0,4.0,1-4Hz,57,ersp,0.0002512041270351241,0.0002512041270351241
0,1.0,4.0,1-4Hz,58,ersp,0.00022263296253803927,0.00022263296253803927
0,1.0,4.0,1-4Hz,59,ersp,0.0001958222665754894,0.0001958222665754894
0,1.0,4.0,1-4Hz,60,ersp,0.00022178104370614376,0.00022178104370614376
0,1.0,4.0,1-4Hz,61,ersp,0.0002874471580340721,0.0002874471580340721
0,1.0,4.0,1-4Hz,62,ersp,0.000276360779634748,0.000276360779634748
0,1.0,4.0,1-4Hz,63,ersp,0.00047652466703308196,0.00047652466703308196
0,1.0,4.0,1-4Hz,64,ersp,0.0005423628562543201,0.0005423628562543201
0,1.0,4.0,1-4Hz,65,ersp,0.000263006687026301,0.000263006687026301
0,1.0,4.0,1-4Hz,66,ersp,0.00012129736466077127,0.00012129736466077127
0,1.0,4.0,1-4Hz,67,ersp,0.00014422513259429768,0.00014422513259429768
0,1.0,4.0,1-4Hz,68,ersp,0.00010375198757480598,0.00010375198757480598
0,1.0,4.0,1-4Hz,69,ersp,0.00016377016111628347,0.00016377016111628347
0,1.0,4.0,1-4Hz,70,ersp,3.355719073690061e-05,3.355719073690061e-05
0,1.0,4.0,1-4Hz,71,ersp,5.245477570240585e-05,5.245477570240585e-05
0,1.0,4.0,1-4Hz,72,ersp,0.00029895124009459356,0.00029895124009459356
0,1.0,4.0,1-4Hz,73,ersp,0.00034517523777643204,0.00034517523777643204
0,1.0,4.0,1-4Hz,74,ersp,0.0002523000009903508,0.0002523000009903508
0,1.0,4.0,1-4Hz,75,ersp,0.0004411758206713424,0.0004411758206713424
0,1.0,4.0,1-4Hz,76,ersp,0.00037743426102887674,0.00037743426102887674
0,1.0,4.0,1-4Hz,77,ersp,0.0002563642883816752,0.0002563642883816752
0,1.0,4.0,1-4Hz,78,ersp,0.0005503366864780558,0.0005503366864780558
0,1.0,4.0,1-4Hz,79,ersp,0.00042213949478612253,0.00042213949478612253
0,1.0,4.0,1-4Hz,80,ersp,0.00017585168365084422,0.00017585168365084422
0,1.0,4.0,1-4Hz,81,ersp,0.0001929790766422896,0.0001929790766422896
0,1.0,4.0,1-4Hz,82,ersp,0.0004774828083435464,0.0004774828083435464
0,1.0,4.0,1-4Hz,83,ersp,0.0003600412094791349,0.0003600412094791349
0,1.0,4.0,1-4Hz,84,ersp,0.00017589836948021304,0.00017589836948021304
0,1.0,4.0,1-4Hz,85,ersp,0.00022459951912159572,0.00022459951912159572
0,1.0,4.0,1-4Hz,86,ersp,0.00038564744464670946,0.00038564744464670946
0,1.0,4.0,1-4Hz,87,ersp,0.0001798227138224409,0.0001798227138224409
0,1.0,4.0,1-4Hz,88,ersp,0.0001319936650787357,0.0001319936650787357
0,1.0,4.0,1-4Hz,89,ersp,0.00048007323857126525,0.00048007323857126525
0,1.0,4.0,1-4Hz,90,ersp,0.00018476210546580733,0.00018476210546580733
0,1.0,4.0,1-4Hz,91,ersp,0.0004998105182193807,0.0004998105182193807
0,1.0,4.0,1-4Hz,92,ersp,0.00030020265548386365,0.00030020265548386365
0,1.0,4.0,1-4Hz,93,ersp,0.0001497912872150365,0.0001497912872150365
0,1.0,4.0,1-4Hz,94,ersp,0.00023353602415883214,0.00023353602415883214
0,1.0,4.0,1-4Hz,95,ersp,0.00020183068374913761,0.00020183068374913761
0,1.0,4.0,1-4Hz,96,ersp,0.0003364236009236884,0.0003364236009236884
0,1.0,4.0,1-4Hz,97,ersp,0.00024368602217406373,0.00024368602217406373
0,1.0,4.0,1-4Hz,98,ersp,3.1268995057088436e-05,3.1268995057088436e-05
0,1.0,4.0,1-4Hz,99,ersp,0.00012460289471515122,0.00012460289471515122
0,1.0,4.0,1-4Hz,100,ersp,0.00019159148218862992,0.00019159148218862992
0,1.0,4.0,1-4Hz,101,ersp,0.00017207167406749685,0.00017207167406749685
0,1.0,4.0,1-4Hz,102,ersp,0.00010155680244697531,0.00010155680244697531
0,1.0,4.0,1-4Hz,103,ersp,5.012773759255483e-05,5.012773759255483e-05
0,1.0,4.0,1-4Hz,104,ersp,0.00016876334788868116,0.00016876334788868116
0,1.0,4.0,1-4Hz,105,ersp,0.00029244811946101904,0.00029244811946101904
0,1.0,4.0,1-4Hz,106,ersp,0.00013038812886094817,0.00013038812886094817
0,1.0,4.0,1-4Hz,107,ersp,0.00023152066926166625,0.00023152066926166625
