condition,band_idx,band_lo,band_hi,band,time_bin,kind,impurity_importance,importance
audio,2,8.0,13.0,8-13Hz,0,ersp,0.0001797283081367563,0.0001797283081367563
audio,2,8.0,13.0,8-13Hz,1,ersp,0.001572510056231887,0.001572510056231887
audio,2,8.0,13.0,8-13Hz,2,ersp,0.0006406580489333697,0.0006406580489333697
audio,2,8.0,13.0,8-13Hz,3,ersp,0.0007458284808150442,0.0007458284808150442
audio,2,8.0,13.0,8-13Hz,4,ersp,0.0004888276478905032,0.0004888276478905032
audio,2,8.0,13.0,8-13Hz,5,ersp,0.0004004630379582485,0.0004004630379582485
audio,2,8.0,13.0,8-13Hz,6,ersp,0.0005541437916930662,0.0005541437916930662
audio,2,8.0,13.0,8-13Hz,7,ersp,0.0009557740765711506,0.0009557740765711506
audio,2,8.0,13.0,8-13Hz,8,ersp,0.000992121312321773,0.000992121312321773
audio,2,8.0,13.0,8-13Hz,9,ersp,0.0007258605983707015,0.0007258605983707015
audio,2,8.0,13.0,8-13Hz,10,ersp,0.0013620206200849047,0.0013620206200849047
audio,2,8.0,13.0,8-13Hz,11,ersp,0.0013179268220431914,0.0013179268220431914
audio,2,8.0,13.0,8-13Hz,12,ersp,0.0020086841410309215,0.0020086841410309215
audio,2,8.0,13.0,8-13Hz,13,ersp,0.001291662343045253,0.001291662343045253
audio,2,8.0,13.0,8-13Hz,14,ersp,0.002766171818066477,0.002766171818066477
audio,2,8.0,13.0,8-13Hz,15,ersp,0.0018653439830147902,0.0018653439830147902
audio,2,8.0,13.0,8-13Hz,16,ersp,0.002456823500041436,0.002456823500041436
audio,2,8.0,13.0,8-13Hz,17,ersp,0.0015591521442363076,0.0015591521442363076
audio,2,8.0,13.0,8-13Hz,18,ersp,0.0008335646316796253,0.0008335646316796253
audio,2,8.0,13.0,8-13Hz,19,ersp,0.0005314016989250857,0.0005314016989250857
audio,2,8.0,13.0,8-13Hz,20,ersp,0.0008623776237343408,0.0008623776237343408
audio,2,8.0,13.0,8-13Hz,21,ersp,0.0007226693188084203,0.0007226693188084203
audio,2,8.0,13.0,8-13Hz,22,ersp,0.0005212108901689349,0.0005212108901689349
audio,2,8.0,13.0,8-13Hz,23,ersp,0.00022751812668712632,0.00022751812668712632
audio,2,8.0,13.0,8-13Hz,24,ersp,0.0004058163484612838,0.0004058163484612838
audio,2,8.0,13.0,8-13Hz,25,ersp,0.0002064831188463202,0.0002064831188463202
audio,2,8.0,13.0,8-13Hz,26,ersp,0.0005002135390504658,0.0005002135390504658
audio,2,8.0,13.0,8-13Hz,27,ersp,0.0008062330763674847,0.0008062330763674847
audio,2,8.0,13.0,8-13Hz,28,ersp,0.00042168736835020414,0.00042168736835020414
audio,2,8.0,13.0,8-13Hz,29,ersp,0.00104541305287074,0.00104541305287074
audio,3,13.0,20.0,13-20Hz,0,ersp,0.0004354399295823538,0.0004354399295823538
audio,3,13.0,20.0,13-20Hz,1,ersp,0.0004846740134070996,0.0004846740134070996
audio,3,13.0,20.0,13-20Hz,2,ersp,0.0004452903393234005,0.0004452903393234005
audio,3,13.0,20.0,13-20Hz,3,ersp,0.00042384077871240725,0.00042384077871240725
audio,3,13.0,20.0,13-20Hz,4,ersp,0.0002762341362160635,0.0002762341362160635
audio,3,13.0,20.0,13-20Hz,5,ersp,0.0002736141077961154,0.0002736141077961154
audio,3,13.0,20.0,13-20Hz,6,ersp,0.0006188212654494194,0.0006188212654494194
audio,3,13.0,20.0,13-20Hz,7,ersp,0.0005662519326714283,0.0005662519326714283
audio,3,13.0,20.0,13-20Hz,8,ersp,0.0008099790610028563,0.0008099790610028563
audio,3,13.0,20.0,13-20Hz,9,ersp,0.0009072409269334361,0.0009072409269334361
audio,3,13.0,20.0,13-20Hz,10,ersp,0.0014782054197459268,0.0014782054197459268
audio,3,13.0,20.0,13-20Hz,11,ersp,0.0004754072869653378,0.0004754072869653378
audio,3,13.0,20.0,13-20Hz,12,ersp,0.001150795480783973,0.001150795480783973
audio,3,13.0,20.0,13-20Hz,13,ersp,0.001575783873423412,0.001575783873423412
audio,3,13.0,20.0,13-20Hz,14,ersp,0.0031490899326158182,0.0031490899326158182
audio,3,13.0,20.0,13-20Hz,15,ersp,0.005514309846627796,0.005514309846627796
audio,3,13.0,20.0,13-20Hz,16,ersp,0.0014111437094678674,0.0014111437094678674
audio,3,13.0,20.0,13-20Hz,17,ersp,0.0022643580367838656,0.0022643580367838656
audio,3,13.0,20.0,13-20Hz,18,ersp,0.001309591564316165,0.001309591564316165
audio,3,13.0,20.0,13-20Hz,19,ersp,0.0023843131102243894,0.0023843131102243894
audio,3,13.0,20.0,13-20Hz,20,ersp,0.0007636527817957766,0.0007636527817957766
audio,3,13.0,20.0,13-20Hz,21,ersp,0.0005168343417578721,0.0005168343417578721
audio,3,13.0,20.0,13-20Hz,22,ersp,0.0005804591978126227,0.0005804591978126227
audio,3,13.0,20.0,13-20Hz,23,ersp,0.0004002295611570982,0.0004002295611570982
audio,3,13.0,20.0,13-20Hz,24,ersp,0.0006259870600850258,0.0006259870600850258
audio,3,13.0,20.0,13-20Hz,25,ersp,0.0015802961169590851,0.0015802961169590851
audio,3,13.0,20.0,13-20Hz,26,ersp,0.000437690901028897,0.000437690901028897
audio,3,13.0,20.0,13-20Hz,27,ersp,0.0008385167761183957,0.0008385167761183957
audio,3,13.0,20.0,13-20Hz,28,ersp,0.00041067897181920404,0.00041067897181920404
audio,3,13.0,20.0,13-20Hz,29,ersp,0.0009627019628772833,0.0009627019628772833
audio,4,20.0,30.0,20-30Hz,0,ersp,0.00024706476550917305,0.00024706476550917305
audio,4,20.0,30.0,20-30Hz,1,ersp,0.00036391298387013297,0.00036391298387013297
audio,4,20.0,30.0,20-30Hz,2,ersp,0.00026939535151270384,0.00026939535151270384
audio,4,20.0,30.0,20-30Hz,3,ersp,0.0003362216941685054,0.0003362216941685054
audio,4,20.0,30.0,20-30Hz,4,ersp,0.0006807300099679,0.0006807300099679
audio,4,20.0,30.0,20-30Hz,5,ersp,0.0004487975724880151,0.0004487975724880151
audio,4,20.0,30.0,20-30Hz,6,ersp,0.0007990770322324655,0.0007990770322324655
audio,4,20.0,30.0,20-30Hz,7,ersp,0.0008338973458368697,0.0008338973458368697
audio,4,20.0,30.0,20-30Hz,8,ersp,0.0006492629089985209,0.0006492629089985209
audio,4,20.0,30.0,20-30Hz,9,ersp,0.0009189228181478384,0.0009189228181478384
audio,4,20.0,30.0,20-30Hz,10,ersp,0.0009024133713431516,0.0009024133713431516
audio,4,20.0,30.0,20-30Hz,11,ersp,0.00043048374823291975,0.00043048374823291975
audio,4,20.0,30.0,20-30Hz,12,ersp,0.0006634625838919125,0.0006634625838919125
audio,4,20.0,30.0,20-30Hz,13,ersp,0.00042768869887403196,0.00042768869887403196
audio,4,20.0,30.0,20-30Hz,14,ersp,0.00021963312474699716,0.00021963312474699716
audio,4,20.0,30.0,20-30Hz,15,ersp,0.0006239772778394844,0.0006239772778394844
audio,4,20.0,30.0,20-30Hz,16,ersp,0.00047276937030643173,0.00047276937030643173
audio,4,20.0,30.0,20-30Hz,17,ersp,0.0004232802671698153,0.0004232802671698153
audio,4,20.0,30.0,20-30Hz,18,ersp,0.00023475050582257468,0.00023475050582257468
audio,4,20.0,30.0,20-30Hz,19,ersp,0.00028815392635717026,0.00028815392635717026
audio,4,20.0,30.0,20-30Hz,20,ersp,0.0004839362091546704,0.0004839362091546704
audio,4,20.0,30.0,20-30Hz,21,ersp,0.0004884384917962495,0.0004884384917962495
audio,4,20.0,30.0,20-30Hz,22,ersp,0.00087255741857618,0.00087255741857618
audio,4,20.0,30.0,20-30Hz,23,ersp,0.0007758499750871476,0.0007758499750871476
audio,4,20.0,30.0,20-30Hz,24,ersp,0.00043248624589984166,0.00043248624589984166
audio,4,20.0,30.0,20-30Hz,25,ersp,0.000996349133399602,0.000996349133399602
audio,4,20.0,30.0,20-30Hz,26,ersp,0.0008704190851052368,0.0008704190851052368
audio,4,20.0,30.0,20-30Hz,27,ersp,0.0006836601373412802,0.0006836601373412802
audio,4,20.0,30.0,20-30Hz,28,ersp,0.00032688402721424106,0.00032688402721424106
audio,4,20.0,30.0,20-30Hz,29,ersp,0.0004584020708917516,0.0004584020708917516
audio,5,30.0,50.0,30-50Hz,0,ersp,0.0004279874302626935,0.0004279874302626935
audio,5,30.0,50.0,30-50Hz,1,ersp,0.00045880140738814736,0.00045880140738814736
audio,5,30.0,50.0,30-50Hz,2,ersp,0.0002709886558215216,0.0002709886558215216
audio,5,30.0,50.0,30-50Hz,3,ersp,0.000746917215843556,0.000746917215843556
audio,5,30.0,50.0,30-50Hz,4,ersp,0.00044384384435156536,0.00044384384435156536
audio,5,30.0,50.0,30-50Hz,5,ersp,0.0003342550487798136,0.0003342550487798136
audio,5,30.0,50.0,30-50Hz,6,ersp,0.0005734011632661769,0.0005734011632661769
audio,5,30.0,50.0,30-50Hz,7,ersp,0.0007208943421423626,0.0007208943421423626
audio,5,30.0,50.0,30-50Hz,8,ersp,0.0009777468886532125,0.0009777468886532125
audio,5,30.0,50.0,30-50Hz,9,ersp,0.00039823507379173036,0.00039823507379173036
audio,5,30.0,50.0,30-50Hz,10,ersp,0.0008801998814725409,0.0008801998814725409
audio,5,30.0,50.0,30-50Hz,11,ersp,0.0005823002360056003,0.0005823002360056003
audio,5,30.0,50.0,30-50Hz,12,ersp,0.0002952363789737604,0.0002952363789737604
audio,5,30.0,50.0,30-50Hz,13,ersp,0.00044956909645719854,0.00044956909645719854
audio,5,30.0,50.0,30-50Hz,14,ersp,0.0004928638544982294,0.0004928638544982294
audio,5,30.0,50.0,30-50Hz,15,ersp,0.0002546201657102978,0.0002546201657102978
audio,5,30.0,50.0,30-50Hz,16,ersp,0.000772379314378035,0.000772379314378035
audio,5,30.0,50.0,30-50Hz,17,ersp,0.0009016740370074343,0.0009016740370074343
audio,5,30.0,50.0,30-50Hz,18,ersp,0.00028119211023483335,0.00028119211023483335
audio,5,30.0,50.0,30-50Hz,19,ersp,0.0006133631593736235,0.0006133631593736235
audio,5,30.0,50.0,30-50Hz,20,ersp,0.0003085906225421349,0.0003085906225421349
audio,5,30.0,50.0,30-50Hz,21,ersp,0.0003682723373778971,0.0003682723373778971
audio,5,30.0,50.0,30-50Hz,22,ersp,0.0005046911837264908,0.0005046911837264908
audio,5,30.0,50.0,30-50Hz,23,ersp,0.0004812859837064034,0.0004812859837064034
audio,5,30.0,50.0,30-50Hz,24,ersp,0.0005632503575860006,0.0005632503575860006
audio,5,30.0,50.0,30-50Hz,25,ersp,0.000717689107562931,0.000717689107562931
audio,5,30.0,50.0,30-50Hz,26,ersp,0.0005439237352041635,0.0005439237352041635
audio,5,30.0,50.0,30-50Hz,27,ersp,0.0008527073484914938,0.0008527073484914938
audio,5,30.0,50.0,30-50Hz,28,ersp,0.0003223070425662741,0.0003223070425662741
audio,5,30.0,50.0,30-50Hz,29,ersp,0.0004225392165193175,0.0004225392165193175
audio,6,50.0,70.0,50-70Hz,0,ersp,0.0006820951600627917,0.0006820951600627917
audio,6,50.0,70.0,50-70Hz,1,ersp,0.0015780707164187238,0.0015780707164187238
audio,6,50.0,70.0,50-70Hz,2,ersp,0.0008608225617368069,0.0008608225617368069
audio,6,50.0,70.0,50-70Hz,3,ersp,0.0007600331132465888,0.0007600331132465888
audio,6,50.0,70.0,50-70Hz,4,ersp,0.001249761970705522,0.001249761970705522
audio,6,50.0,70.0,50-70Hz,5,ersp,0.0004224044803614415,0.0004224044803614415
audio,6,50.0,70.0,50-70Hz,6,ersp,0.0003722666732306539,0.0003722666732306539
audio,6,50.0,70.0,50-70Hz,7,ersp,0.000256849382564156,0.000256849382564156
audio,6,50.0,70.0,50-70Hz,8,ersp,0.0008009990310797388,0.0008009990310797388
audio,6,50.0,70.0,50-70Hz,9,ersp,0.00040054067233508383,0.00040054067233508383
audio,6,50.0,70.0,50-70Hz,10,ersp,0.000517943878285554,0.000517943878285554
audio,6,50.0,70.0,50-70Hz,11,ersp,0.00047388194835058724,0.00047388194835058724
audio,6,50.0,70.0,50-70Hz,12,ersp,0.000617725226916934,0.000617725226916934
audio,6,50.0,70.0,50-70Hz,13,ersp,0.0005621719861106604,0.0005621719861106604
audio,6,50.0,70.0,50-70Hz,14,ersp,0.0009601368241617821,0.0009601368241617821
audio,6,50.0,70.0,50-70Hz,15,ersp,0.001682471012486615,0.001682471012486615
audio,6,50.0,70.0,50-70Hz,16,ersp,0.00043271384635804494,0.00043271384635804494
audio,6,50.0,70.0,50-70Hz,17,ersp,0.0005095361668131487,0.0005095361668131487
audio,6,50.0,70.0,50-70Hz,18,ersp,0.0004038097153228476,0.0004038097153228476
audio,6,50.0,70.0,50-70Hz,19,ersp,0.00036983513011600635,0.00036983513011600635
audio,6,50.0,70.0,50-70Hz,20,ersp,0.0007652157501632356,0.0007652157501632356
audio,6,50.0,70.0,50-70Hz,21,ersp,0.0006469795146013983,0.0006469795146013983
audio,6,50.0,70.0,50-70Hz,22,ersp,0.0006462216288276562,0.0006462216288276562
audio,6,50.0,70.0,50-70Hz,23,ersp,0.00112685933301272,0.00112685933301272
audio,6,50.0,70.0,50-70Hz,24,ersp,0.0012638125697051093,0.0012638125697051093
audio,6,50.0,70.0,50-70Hz,25,ersp,0.0011507348510548187,0.0011507348510548187
audio,6,50.0,70.0,50-70Hz,26,ersp,0.0005923112906555133,0.0005923112906555133
audio,6,50.0,70.0,50-70Hz,27,ersp,0.00031373230781270295,0.00031373230781270295
audio,6,50.0,70.0,50-70Hz,28,ersp,0.0007504036089217374,0.0007504036089217374
audio,6,50.0,70.0,50-70Hz,29,ersp,0.0004858609479195716,0.0004858609479195716
audio,7,70.0,100.0,70-100Hz,0,ersp,0.0007257886884078799,0.0007257886884078799
audio,7,70.0,100.0,70-100Hz,1,ersp,0.0031222862265804256,0.0031222862265804256
audio,7,70.0,100.0,70-100Hz,2,ersp,0.002326610045475965,0.002326610045475965
audio,7,70.0,100.0,70-100Hz,3,ersp,0.0020973513737582105,0.0020973513737582105
audio,7,70.0,100.0,70-100Hz,4,ersp,0.0009489807047938835,0.0009489807047938835
audio,7,70.0,100.0,70-100Hz,5,ersp,0.0010889385913272504,0.0010889385913272504
