k,var_explained,rss,n_iter_used,converged,median_top_weight,frac_no_majority,min_effective_support,median_effective_support,seconds
5,0.37762546865105573,899.4977329429594,108,True,0.5966071802945498,0.2941523922031896,12.81067523975545,18.682993280161575,10.038337230682373
6,0.3987792376470962,868.9248764125091,149,True,0.5698528533258316,0.3372711163614885,9.592842559774827,13.30144052214338,13.04097604751587
7,0.41291525557320397,848.4945479898219,291,True,0.569180295596069,0.3727111636148848,9.23106557133319,13.82061239795446,26.401883602142334
8,0.42460593104534217,831.5983937385092,310,True,0.5506572803877279,0.3927938570584761,6.478437014449667,11.31161365368747,31.038478136062622
9,0.43675072707730656,814.0459137645469,399,True,0.5416523657750036,0.3981098641464855,6.222001466473595,11.246637247041942,36.06343746185303
10,0.4466157671773384,799.7882911299296,201,True,0.5533330749564386,0.38275251033668045,6.923490673028959,12.027424889028586,18.839728116989136
11,0.4556233066454821,786.7699863586392,225,True,0.5530778166050718,0.3987005316007088,6.00086723729174,11.882328742013375,21.539042949676514
12,0.4673566272766746,769.8121984414902,279,True,0.5459665024718595,0.4111045481393975,6.7224171450769425,10.3167099871851,26.78151226043701
13,0.473042250562825,761.5949514324016,301,True,0.5497836944882707,0.40815121086828116,6.44894220499054,10.489680759898532,28.01290202140808
14,0.4819210800465704,748.7626670288189,942,True,0.5241996398089792,0.45067926757235677,6.646295287291667,10.492122746782798,77.94055128097534
15,0.4898882010968163,737.2480452668299,540,True,0.5339917579733385,0.42764323685764916,4.26867767841624,10.864471191483842,47.61709237098694
16,0.48729179132506406,741.0005521350338,496,True,0.5296173337893338,0.45126993502658,4.930840846297755,10.319182410996955,70.62105131149292
17,0.5000100694368108,722.6192371032973,970,True,0.5377715906949772,0.4270525694034259,4.00421195530377,11.218204205814116,141.03674721717834
18,0.5013360666935643,720.7028162565875,510,True,0.5281876694537793,0.44418192557590075,4.885006220725418,9.7922081579603,53.9800865650177
19,0.5076570383700123,711.5673208168265,524,True,0.526444191074148,0.4477259303012404,4.3998308394458086,10.315940968524789,48.59432029724121
20,0.5118576797297969,705.4962700431981,396,True,0.5323979378305497,0.44654459539279384,5.234657512684518,11.147456869590918,36.645671367645264
21,0.5140289886914717,702.3581475941446,408,True,0.5316372563765756,0.45067926757235677,4.811262234785736,10.729679331494443,38.63154149055481
22,0.5172585554233072,697.6905594983116,862,True,0.525641340180598,0.4630832841110455,3.0223764436351894,9.762122725090235,77.95319056510925
23,0.5226674315706189,689.8732861569185,642,True,0.5342431283837955,0.44713526284701716,2.4153469108726418,9.152078278003193,55.676716804504395
24,0.5298190870735219,679.5372303133295,1540,True,0.5484573165517604,0.43473124630832843,4.0241167852892215,10.267262565480916,134.8833510875702
25,0.526700175625004,684.0448919155982,649,True,0.5445168163693211,0.4341405788541051,2.303759998279598,9.538490868771515,62.992719650268555
26,0.5344334632343715,672.8682220448932,1520,True,0.5462324174213657,0.4370939161252215,2.4388918580550567,9.424898304483346,141.86018705368042
27,0.5384920717452716,667.0024467430906,1533,True,0.5533071490182476,0.4264619019492026,4.285850407456445,9.343700244741376,135.22016286849976
28,0.539808548094816,665.0997861549048,1580,True,0.5613800102177788,0.41701122268163027,1.6881189587836305,9.362752764683894,168.55909419059753
29,0.5443409989212986,658.5491819162316,1427,True,0.5619586779970445,0.41878322504430004,2.5274121856646796,9.244192864590662,176.28450393676758
30,0.5439664068844988,659.0905676428449,678,True,0.5532755521090176,0.4217365623154164,3.1512251048125637,8.52681972263143,87.16224074363708
