time_bin,importance
0,0.8814560399101475
1,1.1227993062134134
2,0.6708983529492669
3,0.7019407250592458
4,0.5785060095231754
5,0.5325956479516646
6,0.39720156988471017
7,0.613385698876453
8,0.5682037234980385
9,0.5343247790960238
10,0.6375482735256061
11,0.5729601520455384
12,0.6846349998613173
13,0.5799248820491005
14,0.5831892325025083
15,0.703268292290471
16,0.8439259028565809
17,0.4836052484446775
18,0.6039163369192924
19,0.7065255766550029
20,0.7089723520045674
21,0.5864818738243011
22,0.6120709484589517
23,0.6553301034074112
24,0.6301738328590619
25,0.6003723532801835
26,0.6800242968051569
27,0.7134378281550829
28,0.7362104454995522
29,0.6477497676894534
