class,support,precision,recall,f1,recall_ci_lo,recall_ci_hi,roc_auc_ovr,perm_p,perm_p_fdr
audio,606,0.6212471131639723,0.4438943894389439,0.5178055822906641,0.31958742252066114,0.600747486532423,0.7526408820657347,0.004975124378109453,0.007462686567164179
picture,587,0.4613050075872534,0.5178875638841567,0.48796147672552165,0.3772882805816937,0.6410937186433875,0.6880609915978652,0.004975124378109453,0.007462686567164179
reading,748,0.5571260306242638,0.6323529411764706,0.5923606762680025,0.4934436274509804,0.7690750814100912,0.695754198959169,1.0,1.0
