cluster_id,n_total,n_with_coords,n_missing,distance_mm,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,metric,mirror_to
0,169,102,67,51.968819003442086,-42.84136250439812,-15.937776727894066,-7.363398845873627,16.21755218843297,21.872142463250928,31.75221828902531,mean_pairwise,left
1,66,61,5,38.43659145269717,-42.847424968344264,4.196876660722201,17.95672377479858,11.170784672343444,24.04182723798114,14.885753234583452,mean_pairwise,left
2,661,336,325,52.08419110943438,-40.359824140157016,-9.434120140614963,4.454011248690741,13.449195170857816,28.014755444901876,25.937670006407725,mean_pairwise,left
3,53,26,27,42.07015183009231,-44.768393956697906,-49.027185660142166,-2.3722148838524637,16.048247665417687,32.27776480476029,5.370091515858781,mean_pairwise,left
4,23,11,12,14.535353027251995,-29.301027731461957,-94.12586212158203,-9.947132240642201,7.240251755703921,8.535230450159979,4.784848449372398,mean_pairwise,left
5,154,94,60,53.957654391180014,-37.24583629851646,9.627702071311626,-1.4649504841642176,15.289055211476805,31.473374053309314,23.163960754277863,mean_pairwise,left
6,129,10,119,29.55613506836463,-61.00023880004883,-26.861368417739868,-13.40852240473032,4.748038567684002,13.337355947696759,17.34209979889313,mean_pairwise,left
7,303,169,134,55.25681965832504,-43.731031199884136,-17.10404031128573,3.678706042865324,17.215415058010393,25.327741613089763,29.73867541291763,mean_pairwise,left
8,287,94,193,44.90144549674931,-42.93009590848963,-15.180971006525958,-5.256576141144367,11.830483030754035,19.709094876184253,27.641764101404675,mean_pairwise,left
9,257,120,137,60.90169305424766,-43.48005974789461,-19.001729446152847,5.5575558006763455,17.21157730274425,32.13087392434845,28.84152497331281,mean_pairwise,left
