sample_idx,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30
49,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
50,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
51,3,1,2,5,2,2,1,5,1,5,1,9,11,1,18,16,15,8,7,12,23,1,14,13,15,19
52,3,1,3,6,7,2,3,0,1,12,1,5,11,10,18,16,15,8,7,12,23,1,14,13,15,19
53,3,1,2,5,2,2,1,5,7,5,1,9,11,10,18,16,15,8,7,10,23,1,14,13,15,19
54,3,1,3,5,2,2,3,5,7,5,1,9,11,10,18,16,15,8,7,12,23,1,14,13,15,19
55,3,1,2,5,2,2,1,5,7,5,1,9,11,7,18,16,15,8,7,12,23,1,14,13,15,19
56,3,1,2,5,2,2,1,5,7,5,11,9,3,10,13,7,1,17,1,3,19,18,4,27,6,1
57,1,4,5,5,2,2,1,5,7,5,11,9,5,10,15,7,0,17,1,3,19,18,4,27,19,1
58,4,1,2,5,2,2,5,5,7,5,1,9,11,8,18,16,15,8,7,5,19,18,4,27,15,1
59,4,5,4,5,3,7,1,5,7,5,0,9,4,1,2,19,1,17,15,18,19,12,4,27,19,20
60,1,4,5,3,5,1,10,7,6,4,14,8,1,17,10,15,5,7,18,8,10,10,18,0,17,18
61,1,4,5,3,5,5,10,7,6,4,14,8,11,17,10,15,5,7,18,8,10,10,18,0,15,18
62,1,4,5,3,5,1,7,7,1,4,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
63,1,4,3,6,7,9,7,9,1,4,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
64,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
65,1,4,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
66,4,5,4,5,3,7,1,5,7,5,0,9,5,1,16,19,1,17,11,3,19,18,4,27,19,20
67,4,3,4,5,3,7,1,5,7,5,0,9,5,1,2,19,1,17,11,18,19,18,4,27,19,20
68,4,5,4,5,3,7,1,5,7,5,0,9,11,1,2,19,1,7,15,8,19,10,4,27,15,20
69,3,5,4,5,2,2,3,0,0,3,1,9,11,10,18,16,15,13,7,8,19,1,14,27,15,20
70,3,3,6,4,2,7,1,5,11,0,4,2,11,16,5,19,1,20,21,10,11,1,1,27,1,20
71,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,10,23,1,8,8,15,19
72,3,1,3,6,7,9,7,9,1,7,1,5,11,6,18,16,15,8,7,12,23,1,8,13,15,19
73,3,1,3,6,7,9,7,9,1,6,1,5,11,6,18,16,15,8,7,12,23,1,14,13,15,19
74,4,3,1,1,1,4,6,11,8,12,13,13,7,8,1,11,14,4,21,10,22,6,5,8,1,23
75,3,1,3,6,2,9,7,10,11,7,1,2,9,9,18,16,15,8,7,10,23,9,8,8,15,19
76,3,1,3,6,2,9,7,10,11,7,1,2,9,9,18,16,15,8,7,10,23,1,8,8,15,19
77,3,1,2,5,2,2,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
78,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
79,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
80,3,1,3,6,2,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
81,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
82,4,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
83,4,3,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
84,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
85,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
86,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
87,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
88,3,1,2,1,2,4,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,1,2
89,3,1,2,1,2,4,0,8,12,9,7,0,8,0,8,5,12,18,21,9,4,14,24,23,1,2
90,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
91,4,3,1,7,6,0,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
92,4,3,1,7,3,7,9,5,9,11,0,1,16,1,2,19,1,7,10,18,7,12,6,27,12,20
93,3,1,3,6,7,9,0,8,12,9,7,0,8,0,8,5,12,18,5,9,4,14,24,23,16,2
