time_bin,importance
0,0.8646137119572141
1,1.1013357512580326
2,0.6283834310900696
3,0.6756149317570772
4,0.5648045670813212
5,0.48859174855816556
6,0.37262696957334096
7,0.6590506554730949
8,0.5528644420951622
9,0.5495550194226947
10,0.6097062763007453
11,0.5854976342181492
12,0.6690810316650934
13,0.5920700849055825
14,0.5806222840921115
15,0.6788052528286589
16,0.8475584034801069
17,0.457876709168773
18,0.587785949453988
19,0.6693760404782536
20,0.6785333910559842
21,0.5502901474668195
22,0.5633214109184367
23,0.5970478654273683
24,0.5922329694896554
25,0.5665965276111911
26,0.7028584999543153
27,0.7075758844954878
28,0.6811480944571369
29,0.6095640860905681
