band_idx,band_lo,band_hi,band,time_bin,kind,coef[audio],coef[picture],coef[reading],importance
0,1.0,4.0,1-4Hz,0,ersp,-0.10780883080807707,0.05647061336357265,0.05133821744450443,0.07187255387205138
0,1.0,4.0,1-4Hz,1,ersp,0.10297925263583632,-0.04313204778111457,-0.05984720485472172,0.06865283509055754
0,1.0,4.0,1-4Hz,2,ersp,0.027019314614045973,-0.10555606993865124,0.07853675532460522,0.07037071329243415
0,1.0,4.0,1-4Hz,3,ersp,-0.00024090743465509396,-0.0532582605206174,0.05349916795527258,0.03566611197018169
0,1.0,4.0,1-4Hz,4,ersp,0.04600705647142872,0.04980277419430992,-0.09580983066573875,0.0638732204438258
0,1.0,4.0,1-4Hz,5,ersp,0.033924411779238876,0.015593064759015824,-0.049517476538254626,0.03301165102550311
0,1.0,4.0,1-4Hz,6,ersp,0.022825838463211744,0.004834829721620628,-0.027660668184832347,0.018440445456554905
0,1.0,4.0,1-4Hz,7,ersp,-0.08062541635831895,0.07776489892663835,0.0028605174316805246,0.0537502775722126
0,1.0,4.0,1-4Hz,8,ersp,-0.003320490730676083,0.07912567728623879,-0.07580518655556275,0.05275045152415921
0,1.0,4.0,1-4Hz,9,ersp,-0.019905168392190486,0.03981186661515005,-0.019906698222959596,0.026541244410100043
0,1.0,4.0,1-4Hz,10,ersp,-0.0030890829064452348,0.023309169658341903,-0.020220086751896647,0.015539446438894594
0,1.0,4.0,1-4Hz,11,ersp,0.020771990884211635,-0.01603740652454811,-0.004734584359663529,0.013847993922807757
0,1.0,4.0,1-4Hz,12,ersp,0.023453485241939992,0.01750625076572889,-0.04095973600766891,0.027306490671779263
0,1.0,4.0,1-4Hz,13,ersp,0.05989522475895028,-0.02882327062144183,-0.03107195413750863,0.039930149839300245
0,1.0,4.0,1-4Hz,14,ersp,-0.001361731893400221,-0.02040703337530083,0.02176876526870093,0.014512510179133992
0,1.0,4.0,1-4Hz,15,ersp,0.01224004773144648,-0.018384362578432657,0.006144314846986218,0.012256241718955119
0,1.0,4.0,1-4Hz,16,ersp,-0.010571905319491799,0.024539719217433625,-0.013967813897941798,0.016359812811622406
0,1.0,4.0,1-4Hz,17,ersp,0.04451536596308977,-0.015200040043433605,-0.029315325919656188,0.029676910642059854
0,1.0,4.0,1-4Hz,18,ersp,-0.03654775110250672,0.028043903387517922,0.008503847714988794,0.024365167401671148
0,1.0,4.0,1-4Hz,19,ersp,0.041008748879301,-0.03669082842589821,-0.004317920453402739,0.02733916591953398
0,1.0,4.0,1-4Hz,20,ersp,0.06480719321946657,-0.10649649467662822,0.04168930145716171,0.07099766311775217
0,1.0,4.0,1-4Hz,21,ersp,-0.015554710671009876,-0.0294453809379272,0.04500009160893701,0.030000061072624696
0,1.0,4.0,1-4Hz,22,ersp,0.0016830340532063123,-0.001546589920553524,-0.00013644413265279912,0.0011220227021375452
0,1.0,4.0,1-4Hz,23,ersp,-0.031885600163855284,-0.042918010664990326,0.07480361082884564,0.049869073885897085
0,1.0,4.0,1-4Hz,24,ersp,-0.006194737113982814,-0.006498513367459576,0.012693250481442417,0.00846216698762827
0,1.0,4.0,1-4Hz,25,ersp,-0.037108576246965404,0.010509111898873828,0.02659946434809159,0.024739050831310273
0,1.0,4.0,1-4Hz,26,ersp,0.013615947782270163,0.03441749061423101,-0.04803343839650126,0.032022292264334146
0,1.0,4.0,1-4Hz,27,ersp,0.022954323965789846,-0.04407544899860178,0.021121125032811865,0.0293836326657345
0,1.0,4.0,1-4Hz,28,ersp,0.02624196796685912,0.020328883830073727,-0.0465708517969329,0.031047234531288586
0,1.0,4.0,1-4Hz,29,ersp,-0.022542844319518605,0.032611685743077184,-0.010068841423558465,0.021741123828718085
1,4.0,8.0,4-8Hz,0,ersp,-0.043667629262729095,0.01671450707996308,0.026953122182765975,0.029111752841819383
1,4.0,8.0,4-8Hz,1,ersp,0.14110794039134714,-0.0788724285185094,-0.062235511872837886,0.09407196026089815
1,4.0,8.0,4-8Hz,2,ersp,0.02003325707294795,-0.05652930051309572,0.036496043440147806,0.037686200342063825
1,4.0,8.0,4-8Hz,3,ersp,-0.01582509487523954,-0.027981459359311938,0.04380655423455134,0.029204369489700937
1,4.0,8.0,4-8Hz,4,ersp,0.041235518474685984,0.03169408357023406,-0.07292960204492008,0.048619734696613376
1,4.0,8.0,4-8Hz,5,ersp,0.02505774924862766,0.013983364812381006,-0.0390411140610087,0.02602740937400579
1,4.0,8.0,4-8Hz,6,ersp,0.020926589677661558,0.005785538172798791,-0.026712127850460385,0.017808085233640244
1,4.0,8.0,4-8Hz,7,ersp,-0.059423334777282705,0.03541433360455076,0.02400900117273187,0.03961555651818845
1,4.0,8.0,4-8Hz,8,ersp,-0.016743424498842824,0.05005222015575465,-0.033308795656911784,0.033368146770503086
1,4.0,8.0,4-8Hz,9,ersp,-0.024830498263606383,-0.0032716951337732293,0.028102193397379585,0.018734795598253067
1,4.0,8.0,4-8Hz,10,ersp,-0.021693904815814413,0.02572567746012524,-0.004031772644310676,0.01715045164008344
1,4.0,8.0,4-8Hz,11,ersp,-0.013539297116683627,-0.01833131520870417,0.031870612325387716,0.021247074883591833
1,4.0,8.0,4-8Hz,12,ersp,-0.019231677947451797,0.01071506417201083,0.008516613775440985,0.012821118631634537
1,4.0,8.0,4-8Hz,13,ersp,0.018932464033556282,-0.0021874059462521868,-0.016745058087303935,0.012621642689037468
1,4.0,8.0,4-8Hz,14,ersp,-0.006052674976828658,-0.014811009451032928,0.02086368442786156,0.013909122951907715
1,4.0,8.0,4-8Hz,15,ersp,0.008350857477942,-0.011289969358307627,0.0029391118803656015,0.007526646238871742
1,4.0,8.0,4-8Hz,16,ersp,-0.040453659036297974,0.04169820908382298,-0.0012445500475249463,0.027798806055881965
1,4.0,8.0,4-8Hz,17,ersp,0.03135800180380722,-0.04086489369361237,0.009506891889805105,0.02724326246240823
1,4.0,8.0,4-8Hz,18,ersp,-0.037131947942115065,-0.0003446488987948242,0.03747659684090987,0.024984397893939924
1,4.0,8.0,4-8Hz,19,ersp,0.0037616650459741776,-0.020560726321278578,0.01679906127530443,0.013707150880852394
1,4.0,8.0,4-8Hz,20,ersp,0.005824200688641627,-0.05103609067061519,0.04521188998197353,0.03402406044707678
1,4.0,8.0,4-8Hz,21,ersp,-0.028591026121605786,-0.023369891098385772,0.051960917219991576,0.03464061147999438
1,4.0,8.0,4-8Hz,22,ersp,0.012685147512796565,0.011307213324520374,-0.02399236083731691,0.01599490722487795
1,4.0,8.0,4-8Hz,23,ersp,-0.02239839366652182,-0.006287029032086417,0.028685422698608205,0.019123615132405482
1,4.0,8.0,4-8Hz,24,ersp,-0.018496590478472713,0.004753023076034752,0.013743567402438003,0.012331060318981823
1,4.0,8.0,4-8Hz,25,ersp,-0.052308820307545786,0.018626709619268145,0.03368211068827767,0.0348725468716972
1,4.0,8.0,4-8Hz,26,ersp,0.04033929675818072,0.01619530137998843,-0.056534598138169086,0.037689732092112745
